space,train_dataset,train_split,eval_dataset,eval_split,train_n_vectors,eval_n_vectors,distance_metric,flow_normalized,mean_nn_eval_to_train_k1,median_nn_eval_to_train_k1,p90_nn_eval_to_train_k1,p95_nn_eval_to_train_k1,mean_nn_train_to_eval_k1,median_nn_train_to_eval_k1,p90_nn_train_to_eval_k1,p95_nn_train_to_eval_k1,eval_covered_by_train_eps0p5px,train_covered_by_eval_eps0p5px,eval_covered_by_train_eps0p75px,train_covered_by_eval_eps0p75px,eval_covered_by_train_eps1px,train_covered_by_eval_eps1px,eval_covered_by_train_eps1p5px,train_covered_by_eval_eps1p5px,eval_covered_by_train_eps2px,train_covered_by_eval_eps2px,eval_covered_by_train_eps3px,train_covered_by_eval_eps3px,eval_covered_by_train_eps4px,train_covered_by_eval_eps4px,eval_covered_by_train_eps6px,train_covered_by_eval_eps6px,eval_covered_by_train_eps8px,train_covered_by_eval_eps8px,eval_covered_by_train_eps12px,train_covered_by_eval_eps12px,eval_covered_by_train_eps16px,train_covered_by_eval_eps16px,eval_covered_by_train_eps24px,train_covered_by_eval_eps24px,eval_covered_by_train_eps32px,train_covered_by_eval_eps32px,eval_covered_by_train_eps48px,train_covered_by_eval_eps48px,eval_covered_by_train_eps64px,train_covered_by_eval_eps64px
flow,synthetic_2d_warp,train,kitti2012,val,16000000,397312,sqL2,True,4.940364988215151e-07,3.8617298514509457e-07,1.00094690651531e-06,1.3439809947612955e-06,0.04130042344331741,0.0007339344592764974,0.10737646371126175,0.2121129184961319,0.9995670908505154,0.2678175625,1.0,0.3015483125,1.0,0.32628525,1.0,0.3592990625,1.0,0.3832856875,1.0,0.418017875,1.0,0.4435613125,1.0,0.48447675,1.0,0.5155729375,1.0,0.5638836875,1.0,0.6020448125,1.0,0.665782,1.0,0.7167128125,1.0,0.7952165625,1.0,0.851519125
flow,synthetic_2d_warp,train,spair,test,16000000,88328,sqL2,True,0.00015545531641691923,8.703026992407104e-07,6.430381608879543e-06,3.516213946568288e-05,1.945134499692358e-05,4.764646291732788e-06,2.0034611225128174e-05,3.1948089599609375e-05,0.8457114391812336,0.430048875,0.9131306041119464,0.69270775,0.931573227062766,0.8483874375,0.949585635359116,0.9550095,0.9583031428312653,0.97939625,0.9674169006430577,0.992237625,0.9723756906077348,0.9957895625,0.9780816954985961,0.9979960625,0.9822819490988135,0.998790875,0.9878068109772665,0.9994038125,0.99148627841681,0.999647125,0.9953468888687619,0.9998043125,0.9976904265917942,0.9998703125,0.9993773208948464,0.9999360625,0.9997735712344896,0.9999779375
flow,synthetic_2d_warp,train,pfpascal,test,16000000,2414,sqL2,True,6.701507118123118e-07,4.805211233360751e-07,1.3592933783002081e-06,1.819087009380382e-06,0.004829670302569866,7.647648453712463e-05,0.0014469325542449951,0.006028890609741211,0.9896437448218725,0.045362875,0.9991714995857498,0.0976105,0.9995857497928748,0.1640228125,1.0,0.30938825,1.0,0.4447360625,1.0,0.6342134375,1.0,0.7344613125,1.0,0.8322516875,1.0,0.8773155625,1.0,0.9182718125,1.0,0.938634625,1.0,0.958288625,1.0,0.9681305,1.0,0.978690375,1.0,0.9849661875
flow,synthetic_2d_warp,train,pfwillow,test,16000000,9000,sqL2,True,2.556057552283164e-06,4.848795924772276e-07,1.515040855792905e-06,2.3206764581118478e-06,0.0030473016668111086,2.5153160095214844e-05,0.00041177868843078613,0.0017873942852020264,0.9795555555555555,0.1317745,0.9933333333333333,0.2510061875,0.9953333333333333,0.37621425,0.9966666666666667,0.575399,0.998,0.6998048125,0.9988888888888889,0.8172330625,0.9993333333333333,0.868397375,0.9997777777777778,0.9136294375,0.9997777777777778,0.934101625,0.9997777777777778,0.9545910625,0.9997777777777778,0.9643256875,1.0,0.974839375,1.0,0.9803575,1.0,0.9868015625,1.0,0.9904128125
flow,synthetic_2d_warp,train,pointodyssey,test,16000000,16000000,sqL2,True,5.608571882476099e-07,4.128155808302836e-07,1.1920928955078125e-06,1.8013849967246642e-06,0.005164943169802427,8.120558447899384e-08,4.9194321036338806e-05,0.0026865005493164062,0.9990394375,0.7990599375,0.9999948125,0.846462375,1.0,0.8678125625,1.0,0.8918909375,1.0,0.904179375,1.0,0.9178131875,1.0,0.9256115,1.0,0.935000125,1.0,0.9405470625,1.0,0.9480176875,1.0,0.9537799375,1.0,0.961831375,1.0,0.967993625,1.0,0.9770183125,1.0,0.983622875
flow,synthetic_2d_warp,train,tss,val,16000000,819200,sqL2,True,3.391259451746009e-05,4.6367574668693123e-07,1.5533207715634487e-06,3.121824192930944e-06,0.0035833173897117376,2.79242016176795e-07,2.7788124498329125e-05,0.0014592153020203114,0.957686767578125,0.81005125,0.9712744140625,0.856503,0.97660400390625,0.8805933125,0.982301025390625,0.9058563125,0.9852587890625,0.9186791875,0.988358154296875,0.931177125,0.990142822265625,0.9370495625,0.99255859375,0.943180125,0.9943505859375,0.9470764375,0.996534423828125,0.9531871875,0.997855224609375,0.958228,0.9991455078125,0.96641325,0.999617919921875,0.9727120625,0.999949951171875,0.9817124375,0.99998291015625,0.987632125
flow,synthetic_2d_warp,train,middlebury,val,16000000,98304,sqL2,True,3.860091339902283e-07,2.5327503294647613e-07,8.748356776777654e-07,1.2401524656979647e-06,0.13499046862125397,0.05198509618639946,0.35045674443244934,0.537260890007019,1.0,0.00285275,1.0,0.0028786875,1.0,0.0082104375,1.0,0.00861525,1.0,0.0139558125,1.0,0.0200524375,1.0,0.02652425,1.0,0.0400484375,1.0,0.0546351875,1.0,0.0864106875,1.0,0.1211403125,1.0,0.19402675,1.0,0.269345125,1.0,0.41580325,1.0,0.543055375
flow,synthetic,train,flyingthings,test,16000000,14319616,sqL2,True,0.00016326835611835122,2.706637587834848e-06,6.659967311861692e-06,8.3062980138493e-06,5.0272323278477415e-05,4.058578895183018e-08,1.7795875919546233e-06,6.0504962675622664e-06,0.6792675166708381,0.934607125,0.9553431460731908,0.959546,0.9955162903809711,0.9716216875,0.9987967554437214,0.9833594375,0.9989277645434067,0.9887433125,0.9990487873417835,0.9936235625,0.999109473326659,0.99569375,0.9991934839593464,0.99740025,0.9992420886146668,0.9980954375,0.9993087105129076,0.9987230625,0.9993565469912042,0.999012125,0.9994193280043264,0.99937375,0.9994707260306421,0.999539625,0.9995612312508939,0.999686875,0.9996303671830306,0.999767625
flow,synthetic,train,kitti2015,val,16000000,408402,sqL2,True,3.6210819871485e-06,2.8059789656253997e-06,7.570573689008598e-06,1.0501874066903835e-05,0.03257714956998825,4.108772918698378e-05,0.0767168179154396,0.17334839701652527,0.6518087570579968,0.387818,0.9243343568346873,0.4343586875,0.9957076605893213,0.4619026875,1.0,0.493146125,1.0,0.5151150625,1.0,0.5444878125,1.0,0.565434375,1.0,0.5970163125,1.0,0.6213346875,1.0,0.6609136875,1.0,0.69247075,1.0,0.7432949375,1.0,0.782982625,1.0,0.8429626875,1.0,0.885628375
flow,synthetic,train,kitti2012,val,16000000,397312,sqL2,True,3.313579327368643e-06,2.7484588827064727e-06,6.8704919158335585e-06,8.503400022163986e-06,0.042315948754549026,0.0007847708184272051,0.10935512259602508,0.22132478654384613,0.6667883174935567,0.265849,0.9514965568621134,0.2993921875,0.996252315560567,0.3241236875,1.0,0.3568950625,1.0,0.380853375,1.0,0.415169625,1.0,0.44046,1.0,0.4810789375,1.0,0.5120615,1.0,0.5602756875,1.0,0.5983580625,1.0,0.6616421875,1.0,0.7126396875,1.0,0.7922370625,1.0,0.8493329375
flow,synthetic,train,spair,test,16000000,88328,sqL2,True,0.00035605093580670655,2.79840742223314e-06,7.977576933626554e-06,2.2844466275273587e-05,1.7096164810936898e-05,4.76837158203125e-06,2.0034611225128174e-05,3.193318843841553e-05,0.6689724662621139,0.4304453125,0.9071868490172992,0.6921031875,0.9399737342632007,0.847991,0.9570804274975093,0.955141625,0.9640657549135042,0.9794889375,0.9709265465084684,0.992174,0.9746173353862875,0.995780375,0.9796666968571688,0.998061125,0.9833461642967123,0.998869,0.9871954533103886,0.9994609375,0.9896182411013495,0.9996743125,0.9925391721764333,0.9998179375,0.9945317453129245,0.9998753125,0.9970564260483652,0.99997975,0.9985508559007337,0.9999940625
flow,synthetic,train,pfpascal,test,16000000,2414,sqL2,True,3.11142366626882e-06,2.63718493442866e-06,6.091421846576857e-06,7.718628103248191e-06,0.004711034242063761,7.646344602108002e-05,0.0014615952968597412,0.006237983703613281,0.700082850041425,0.0452976875,0.9623032311516155,0.0976584375,0.9975144987572494,0.1642661875,0.9995857497928748,0.3097340625,0.9995857497928748,0.44492425,1.0,0.63391325,1.0,0.734070375,1.0,0.8320799375,1.0,0.877073,1.0,0.9175120625,1.0,0.937604125,1.0,0.9575588125,1.0,0.96746575,1.0,0.977934,1.0,0.9841649375
flow,synthetic,train,pfwillow,test,16000000,9000,sqL2,True,3.377707571416977e-06,2.597841103124665e-06,5.937532068855945e-06,7.407735461129049e-06,0.002968427026644349,2.5257468223571777e-05,0.0004126131534576416,0.0017899870872497559,0.7116666666666667,0.131416,0.9671111111111111,0.2503913125,0.9945555555555555,0.3754406875,0.9984444444444445,0.57468925,0.9988888888888889,0.699375375,0.9991111111111111,0.81724075,0.9993333333333333,0.86832625,1.0,0.9135319375,1.0,0.9340235625,1.0,0.954570625,1.0,0.9642358125,1.0,0.9747195,1.0,0.980061625,1.0,0.986563,1.0,0.99025175
flow,synthetic,train,pointodyssey,test,16000000,16000000,sqL2,True,4.003934918728191e-06,3.624691771619837e-06,8.58306884765625e-06,9.979704373108689e-06,0.005259504076093435,7.543712854385376e-08,5.373442763811909e-05,0.0030831927433609962,0.573340125,0.796653875,0.90459125,0.844152375,0.9826720625,0.86558925,1.0,0.8897468125,1.0,0.9021671875,1.0,0.91598825,1.0,0.923880375,1.0,0.933235375,1.0,0.93885925,1.0,0.9465453125,1.0,0.952352625,1.0,0.960551375,1.0,0.967133,1.0,0.9764648125,1.0,0.9825980625
flow,synthetic,train,tss,val,16000000,819200,sqL2,True,0.00011406670091673732,2.7183068596059456e-06,6.715358176734298e-06,9.107830419452501e-06,0.0035939570516347885,2.81577342775563e-07,2.6769603209686466e-05,0.0013399786548689008,0.684700927734375,0.8103801875,0.94326904296875,0.8573881875,0.97713623046875,0.8816285625,0.98401611328125,0.907008625,0.986448974609375,0.9197656875,0.9891015625,0.9320959375,0.990703125,0.93785375,0.992646484375,0.94394275,0.99386962890625,0.947772875,0.99517822265625,0.953776375,0.996168212890625,0.9586494375,0.997371826171875,0.966600875,0.998079833984375,0.973042,0.9990478515625,0.98194625,0.999554443359375,0.9873754375
