space,train_dataset,train_split,eval_dataset,eval_split,train_n_centroids,eval_n_centroids,train_total_weight,eval_total_weight,distance_metric,flow_normalized,train_kmeans_k,eval_kmeans_k,self_radius_k,radius_quantile,radius_train,radius_eval,mean_nn_eval_to_train,median_nn_eval_to_train,p90_nn_eval_to_train,p95_nn_eval_to_train,mean_nn_train_to_eval,median_nn_train_to_eval,p90_nn_train_to_eval,p95_nn_train_to_eval,weighted_distances,weighted_radius,radius_neighbor_agg,flow_image_h,flow_image_w
flow,synthetic_2d_warp,train,spair,test,8192,8192,16000000,88328,sqL2,True,8192,8192,1,0.95,0.001641392707824707,0.0030008554458618164,0.0020832580492071914,9.483098983764648e-05,0.0036507844924926758,0.009416818618774414,8.776612188253534e-05,3.7383055314421654e-05,0.00012186914682388306,0.00019672513008117676,True,True,kth,512,512
flow,synthetic_2d_warp,train,pfpascal,test,8192,2414,16000000,2414,sqL2,True,8192,2414,1,0.95,0.001641392707824707,0.0010426044464111328,5.7998391409735064e-05,1.6041100025177002e-05,8.7738037109375e-05,0.00015157461166381836,0.00473456974794415,7.570814341306686e-05,0.0014556646347045898,0.005958616733551025,True,True,kth,512,512
flow,synthetic_2d_warp,train,pfwillow,test,8192,8192,16000000,9000,sqL2,True,8192,8192,1,0.95,0.001641392707824707,0.00035321712493896484,0.00012266720908074704,1.5817582607269287e-05,0.00012564659118652344,0.0002900362014770508,0.0029791240291307656,2.5216490030288696e-05,0.00039961934089660645,0.0017418861389160156,True,True,kth,512,512
flow,synthetic_2d_warp,train,pointodyssey,test,8192,8192,16000000,16000000,sqL2,True,8192,8192,1,0.95,0.001641392707824707,0.00010276399552822113,6.874559773467922e-06,4.853965947404504e-06,1.243286533281207e-05,1.550519846205134e-05,0.009817533313060465,0.00016605108976364136,0.006761401891708374,0.02688533067703247,True,True,kth,512,512
flow,synthetic_2d_warp,train,tss,val,8192,8192,16000000,819200,sqL2,True,8192,8192,1,0.95,0.001641392707824707,0.0013315677642822266,0.0006470511443523219,1.2062489986419678e-05,0.00010497868061065674,0.0011892318725585938,0.004816054050856962,1.633167266845703e-05,0.0009070932865142822,0.006619751453399658,True,True,kth,512,512
flow,synthetic_2d_warp,train,middlebury,val,8192,8192,16000000,98304,sqL2,True,8192,8192,1,0.95,0.001641392707824707,1.4901161193847656e-08,8.85501467351446e-06,5.790963768959045e-06,2.0522624254226685e-05,2.7202069759368896e-05,0.134683096576894,0.05196838453412056,0.3501763343811035,0.537459671497345,True,True,kth,512,512
flow,synthetic,train,flyingthings,test,8192,8192,16000000,14319616,sqL2,True,8192,8192,1,0.95,0.001782834529876709,0.0006467252969741821,0.0002473854823616764,6.534704880323261e-06,2.1286308765411377e-05,3.668665885925293e-05,0.0011484581401549267,4.542246460914612e-05,0.001477062702178955,0.0037810802459716797,True,True,kth,512,512
flow,synthetic,train,kitti2015,val,8192,8192,16000000,408402,sqL2,True,8192,8192,1,0.95,0.001782834529876709,0.00010410696268081665,8.432655904639445e-06,6.427988409996033e-06,1.779431477189064e-05,2.10590660572052e-05,0.03677434958070484,0.000424899160861969,0.08986393362283707,0.1936033070087433,True,True,kth,512,512
flow,synthetic,train,kitti2012,val,8192,8192,16000000,397312,sqL2,True,8192,8192,1,0.95,0.001782834529876709,3.530830144882202e-05,6.856443916921651e-06,5.713198333978653e-06,1.3908836990594864e-05,1.7094891518354416e-05,0.04966200102449137,0.0026202350854873657,0.13229918479919434,0.25404125452041626,True,True,kth,512,512
flow,synthetic,train,spair,test,8192,8192,16000000,88328,sqL2,True,8192,8192,1,0.95,0.001782834529876709,0.0030008554458618164,0.0020256700387468857,9.161233901977539e-05,0.003080010414123535,0.007345914840698242,8.968592471158707e-05,3.6947429180145264e-05,0.00012153387069702148,0.00019022822380065918,True,True,kth,512,512
flow,synthetic,train,pfpascal,test,8192,2414,16000000,2414,sqL2,True,8192,2414,1,0.95,0.001782834529876709,0.0010426044464111328,5.900488970380983e-05,1.4893710613250732e-05,8.407235145568848e-05,0.00015302002429962158,0.00463071397825793,7.613003253936768e-05,0.00144881010055542,0.006125032901763916,True,True,kth,512,512
flow,synthetic,train,pfwillow,test,8192,8192,16000000,9000,sqL2,True,8192,8192,1,0.95,0.001782834529876709,0.00035321712493896484,0.00011170484315617715,1.615285873413086e-05,0.00011977553367614746,0.0002830028533935547,0.0028935897164253785,2.524256706237793e-05,0.00041344761848449707,0.0017681717872619629,True,True,kth,512,512
flow,synthetic,train,pointodyssey,test,8192,8192,16000000,16000000,sqL2,True,8192,8192,1,0.95,0.001782834529876709,0.00010276399552822113,7.400783638116309e-06,5.70627162232995e-06,1.4053213817533106e-05,1.643669565964956e-05,0.01003134983025976,0.0001687072217464447,0.006976276636123657,0.02862405776977539,True,True,kth,512,512
flow,synthetic,train,tss,val,8192,8192,16000000,819200,sqL2,True,8192,8192,1,0.95,0.001782834529876709,0.0013315677642822266,0.0005943139969812594,1.2099742889404297e-05,9.766221046447754e-05,0.0010403990745544434,0.004872744033498505,1.615285873413086e-05,0.0008579492568969727,0.006144344806671143,True,True,kth,512,512
flow,synthetic,train,middlebury,val,8192,8192,16000000,98304,sqL2,True,8192,8192,1,0.95,0.001782834529876709,1.4901161193847656e-08,9.019704950929963e-06,6.6515058279037476e-06,1.823529601097107e-05,2.516806125640869e-05,0.13572498027328808,0.05181070417165756,0.3495139181613922,0.5470234155654907,True,True,kth,512,512
flow,synthetic_small_zoom,train,flyingthings,test,8192,8192,16000000,14319616,sqL2,True,8192,8192,1,0.95,1.52587890625e-05,0.0006467252969741821,0.001404423937987229,2.9434304451569915e-06,0.00016483664512634277,0.0010781586170196533,5.702094118358906e-05,8.773058652877808e-07,8.588656783103943e-06,1.407042145729065e-05,True,True,kth,512,512
flow,synthetic_small_zoom,train,kitti2015,val,8192,8192,16000000,408402,sqL2,True,8192,8192,1,0.95,1.52587890625e-05,0.00010410696268081665,6.813879765266705e-05,2.9001384973526e-06,1.513991901447298e-05,8.391216397285461e-05,0.001171292464298589,1.3094395399093628e-06,8.016638457775116e-05,0.00037373299710452557,True,True,kth,512,512
