space,train_dataset,train_split,eval_dataset,eval_split,epsilon_px,epsilon_norm,epsilon_sq,eval_covered_by_train_weighted,train_covered_by_eval_weighted,train_kmeans_k,eval_kmeans_k
flow,flyingthings,train,middlebury,val,0.75,0.0029296875,8.58306884765625e-06,0.6930745442708334,0.008337563265065913,8192,8192
flow,flyingthings,train,middlebury,val,1.0,0.00390625,1.52587890625e-05,0.8126118977864584,0.010940893976844718,8192,8192
flow,flyingthings,train,middlebury,val,1.5,0.005859375,3.4332275390625e-05,0.911224365234375,0.01801541300184044,8192,8192
flow,flyingthings,train,middlebury,val,2.0,0.0078125,6.103515625e-05,0.9389851888020834,0.02594803971922616,8192,8192
flow,flyingthings,train,middlebury,val,3.0,0.01171875,0.0001373291015625,0.9786376953125,0.04417076953325629,8192,8192
flow,flyingthings,train,middlebury,val,4.0,0.015625,0.000244140625,0.9967142740885416,0.06757842594375962,8192,8192
flow,flyingthings,train,middlebury,val,6.0,0.0234375,0.00054931640625,0.9998982747395834,0.13572153941426982,8192,8192
flow,flyingthings,train,middlebury,val,8.0,0.03125,0.0009765625,1.0,0.22854505061205274,8192,8192
flow,flyingthings,train,middlebury,val,12.0,0.046875,0.002197265625,1.0,0.4034302405677538,8192,8192
flow,flyingthings,train,middlebury,val,16.0,0.0625,0.00390625,1.0,0.5303162383902585,8192,8192
flow,flyingthings,train,middlebury,val,24.0,0.09375,0.0087890625,1.0,0.6830097519153399,8192,8192
flow,flyingthings,train,middlebury,val,32.0,0.125,0.015625,1.0,0.7678731334799264,8192,8192
flow,flyingthings,train,middlebury,val,48.0,0.1875,0.03515625,1.0,0.8598891958515237,8192,8192
flow,flyingthings,train,middlebury,val,64.0,0.25,0.0625,1.0,0.9086095662664784,8192,8192
flow,imagenet2dwarp,train,flyingthings,test,0.5,0.001953125,3.814697265625e-06,0.21360258543245852,0.10723662109375,8192,8192
flow,imagenet2dwarp,train,flyingthings,test,0.75,0.0029296875,8.58306884765625e-06,0.48003263495333953,0.1801150390625,8192,8192
flow,imagenet2dwarp,train,flyingthings,test,1.0,0.00390625,1.52587890625e-05,0.7881563304490846,0.24955302734375,8192,8192
flow,imagenet2dwarp,train,flyingthings,test,1.5,0.005859375,3.4332275390625e-05,0.9600531885771239,0.3850939453125,8192,8192
flow,imagenet2dwarp,train,flyingthings,test,2.0,0.0078125,6.103515625e-05,0.975777562750286,0.49993701171875,8192,8192
flow,imagenet2dwarp,train,flyingthings,test,3.0,0.01171875,0.0001373291015625,0.9856778282322655,0.662494140625,8192,8192
flow,imagenet2dwarp,train,flyingthings,test,4.0,0.015625,0.000244140625,0.9892267362476759,0.76171904296875,8192,8192
flow,imagenet2dwarp,train,flyingthings,test,6.0,0.0234375,0.00054931640625,0.9922972794801201,0.87017822265625,8192,8192
flow,imagenet2dwarp,train,flyingthings,test,8.0,0.03125,0.0009765625,0.9930814485528103,0.9298607421875,8192,8192
flow,imagenet2dwarp,train,flyingthings,test,12.0,0.046875,0.002197265625,0.9944872125062572,0.97985087890625,8192,8192
flow,imagenet2dwarp,train,flyingthings,test,16.0,0.0625,0.00390625,0.9945986680089746,0.99502099609375,8192,8192
flow,imagenet2dwarp,train,flyingthings,test,24.0,0.09375,0.0087890625,0.9952629316316862,0.99930029296875,8192,8192
flow,imagenet2dwarp,train,flyingthings,test,32.0,0.125,0.015625,0.995964347088637,0.9999251953125,8192,8192
flow,imagenet2dwarp,train,flyingthings,test,48.0,0.1875,0.03515625,0.9965656201954018,1.0,8192,8192
flow,imagenet2dwarp,train,flyingthings,test,64.0,0.25,0.0625,0.9973410599837315,1.0,8192,8192
flow,imagenet2dwarp,train,kitti2015,val,0.5,0.001953125,3.814697265625e-06,0.22296658684335532,0.08943515625,8192,8192
flow,imagenet2dwarp,train,kitti2015,val,0.75,0.0029296875,8.58306884765625e-06,0.5004480879133795,0.1396501953125,8192,8192
flow,imagenet2dwarp,train,kitti2015,val,1.0,0.00390625,1.52587890625e-05,0.8472877214117462,0.184625390625,8192,8192
flow,imagenet2dwarp,train,kitti2015,val,1.5,0.005859375,3.4332275390625e-05,0.9922821141914094,0.247960546875,8192,8192
flow,imagenet2dwarp,train,kitti2015,val,2.0,0.0078125,6.103515625e-05,0.998878555932635,0.29976728515625,8192,8192
flow,imagenet2dwarp,train,kitti2015,val,3.0,0.01171875,0.0001373291015625,0.9998457402265415,0.3728228515625,8192,8192
flow,imagenet2dwarp,train,kitti2015,val,4.0,0.015625,0.000244140625,1.0,0.41527197265625,8192,8192
flow,imagenet2dwarp,train,kitti2015,val,6.0,0.0234375,0.00054931640625,1.0,0.478110546875,8192,8192
flow,imagenet2dwarp,train,kitti2015,val,8.0,0.03125,0.0009765625,1.0,0.5254626953125,8192,8192
flow,imagenet2dwarp,train,kitti2015,val,12.0,0.046875,0.002197265625,1.0,0.59291962890625,8192,8192
flow,imagenet2dwarp,train,kitti2015,val,16.0,0.0625,0.00390625,1.0,0.6414369140625,8192,8192
flow,imagenet2dwarp,train,kitti2015,val,24.0,0.09375,0.0087890625,1.0,0.717115234375,8192,8192
flow,imagenet2dwarp,train,kitti2015,val,32.0,0.125,0.015625,1.0,0.77640576171875,8192,8192
flow,imagenet2dwarp,train,kitti2015,val,48.0,0.1875,0.03515625,1.0,0.86520634765625,8192,8192
flow,imagenet2dwarp,train,kitti2015,val,64.0,0.25,0.0625,1.0,0.9232142578125,8192,8192
flow,imagenet2dwarp,train,kitti2012,val,0.5,0.001953125,3.814697265625e-06,0.23463172519329897,0.0719548828125,8192,8192
flow,imagenet2dwarp,train,kitti2012,val,0.75,0.0029296875,8.58306884765625e-06,0.5325713796713918,0.10006162109375,8192,8192
flow,imagenet2dwarp,train,kitti2012,val,1.0,0.00390625,1.52587890625e-05,0.8725510430090206,0.124225,8192,8192
flow,imagenet2dwarp,train,kitti2012,val,1.5,0.005859375,3.4332275390625e-05,0.9995016510953608,0.1609197265625,8192,8192
flow,imagenet2dwarp,train,kitti2012,val,2.0,0.0078125,6.103515625e-05,0.9999446278994846,0.18878447265625,8192,8192
flow,imagenet2dwarp,train,kitti2012,val,3.0,0.01171875,0.0001373291015625,0.9999798646907216,0.2341611328125,8192,8192
flow,imagenet2dwarp,train,kitti2012,val,4.0,0.015625,0.000244140625,1.0,0.2716779296875,8192,8192
flow,imagenet2dwarp,train,kitti2012,val,6.0,0.0234375,0.00054931640625,1.0,0.3287228515625,8192,8192
flow,imagenet2dwarp,train,kitti2012,val,8.0,0.03125,0.0009765625,1.0,0.37360537109375,8192,8192
flow,imagenet2dwarp,train,kitti2012,val,12.0,0.046875,0.002197265625,1.0,0.44578427734375,8192,8192
flow,imagenet2dwarp,train,kitti2012,val,16.0,0.0625,0.00390625,1.0,0.504526953125,8192,8192
flow,imagenet2dwarp,train,kitti2012,val,24.0,0.09375,0.0087890625,1.0,0.60208740234375,8192,8192
