train_dataset,train_split,eval_dataset,eval_split,eval_to_train_auc,eval_to_train_eps_at90,eval_to_train_eps_at95,train_to_eval_auc,train_to_eval_eps_at90,train_to_eval_eps_at95
pointodyssey_synthetic_70_30,train,pointodyssey,test,63.4997588203125,0.5,0.5,62.634887101562505,0.5,0.9042976729282635
pointodyssey_synthetic_70_30,train,spair,test,62.324523367448606,1.1107563025210085,4.0412429378530925,63.34803734375,0.9426421894029267,1.2184863684126068
pointodyssey_synthetic_70_30,train,tss,val,63.177045745849604,0.5,0.6634652250594275,62.744092234374996,0.5,0.7579559497780652
sintel,train,flyingthings,test,63.14689737490168,0.5,0.7839489296742167,63.499526435199776,0.5,0.5
sintel,train,kitti2012,val,63.49820135057587,0.5,0.5,61.944605875885564,0.6098755747903692,6.987805230458032
sintel,train,kitti2015,val,63.48891625163442,0.5,0.5,62.616702795257716,0.5,1.8421524141942938
sintel,train,middlebury,val,63.4054807027181,0.5641615356754802,1.2382502543234983,50.850940715339064,29.627879423201172,46.0632415627704
sintel,train,pfpascal,test,62.1089478044739,2.9551020408163278,6.139393939393936,62.63685835106343,2.3971794095258367,2.8334394669853404
sintel,train,pfwillow,test,60.19595833333332,5.1651376146788985,22.04255319148928,63.18801771414955,1.2864943964391558,1.4377939456562467
sintel,train,pointodyssey,test,63.4732666484375,0.5,0.5,63.46530904779059,0.5,0.5
sintel,train,spair,test,45.921259396793765,,,63.40343259138974,0.8258512640688365,0.9720936294442704
sintel,train,tss,val,58.69643615722656,4.83210813374437,,63.41014411332627,0.5,0.5
sintel_synthetic_30_70,train,flyingthings,test,63.46399831880967,0.5,0.5,63.4325584609375,0.5,0.5
sintel_synthetic_30_70,train,kitti2012,val,63.49992889718911,0.5,0.5,49.377453234375,,
sintel_synthetic_30_70,train,kitti2015,val,63.49959445595272,0.5,0.5,52.84204489062499,51.827554595784804,
sintel_synthetic_30_70,train,middlebury,val,63.49917221069336,0.5,0.5,27.606643882812502,,
sintel_synthetic_30_70,train,pfpascal,test,63.48938483844242,0.5,0.5905523255813953,59.9898607421875,6.915360514111249,13.468044109532018
sintel_synthetic_30_70,train,pfwillow,test,63.470277777777774,0.5,0.6277397260273969,61.46347728125,3.694143915985622,7.166672643488542
sintel_synthetic_30_70,train,pointodyssey,test,63.4995753515625,0.5,0.5,61.843612750000005,0.8247129699722433,4.066855524079319
sintel_synthetic_30_70,train,spair,test,62.55932433656371,0.819027149321267,2.095652173913044,63.2778043203125,1.094589471105932,1.3879265395979372
sintel_synthetic_30_70,train,tss,val,63.02942764282226,0.5,0.6820930633559954,62.0661850703125,0.73470967717117,2.7047619047618956
sintel_synthetic_70_30,train,flyingthings,test,63.43988790446615,0.5,0.5,63.47260361718749,0.5,0.5
sintel_synthetic_70_30,train,kitti2012,val,63.49997577470602,0.5,0.5,56.440430835937505,31.145132618935243,63.30106915130091
sintel_synthetic_70_30,train,kitti2015,val,63.49985706485277,0.5,0.5,58.3532994453125,17.32480816673758,47.83674560130211
sintel_synthetic_70_30,train,middlebury,val,63.499365488688156,0.5,0.5,40.643640937499995,,
sintel_synthetic_70_30,train,pfpascal,test,63.48829743164872,0.5,0.5323412698412695,61.499367,3.6791274812007937,6.354316951969624
sintel_synthetic_70_30,train,pfwillow,test,63.458888888888886,0.5,0.6144901610017884,62.4386001953125,1.9877144454394138,3.4787724748187836
sintel_synthetic_70_30,train,pointodyssey,test,63.49974125,0.5,0.5,62.760318546875,0.5,0.7154945807515185
sintel_synthetic_70_30,train,spair,test,61.638413073996915,1.4761821366024532,8.3927677329624,63.3532502890625,0.9367786600965431,1.1978010466749827
sintel_synthetic_70_30,train,tss,val,62.996790161132814,0.5,0.7253099427527827,62.7878299453125,0.5,0.6940124125291558
spair,train,flyingthings,test,63.45496371899917,0.5,0.6318524973887791,62.84456401231378,1.9899039103162965,3.3352908740005516
spair,train,kitti2012,val,63.48749345602448,0.5,0.6076108941274934,23.638735280504605,,
spair,train,kitti2015,val,63.47421168358627,0.5698590066108936,0.7191898730474464,26.933320282226813,,
spair,train,middlebury,val,63.496307373046875,0.5,0.5,6.433647568995951,,
spair,train,pfpascal,test,63.46810273405137,0.6076530612244898,0.7102891156462583,45.63214783539998,,
spair,train,pfwillow,test,63.47016666666667,0.6027000964320155,0.7111861137897783,52.949938242702146,39.63504175536272,
spair,train,pointodyssey,test,63.4610536875,0.6707057971027588,0.7780551429462138,47.70930812989753,,
spair,train,spair,test,63.26929314600127,1.1893000000000002,1.5183977900552497,62.83802164061828,2.113380098726943,2.9179527149909052
spair,train,tss,val,63.45965835571289,0.6048114008907665,0.7223558244180174,56.833921305864116,28.858313253012042,62.26929316338348
spair_synthetic_30_70,train,flyingthings,test,63.42253338881433,0.686755162208442,0.7374922156218192,63.4151155390625,0.5,0.6244004262471913
spair_synthetic_30_70,train,kitti2012,val,63.451340193601,0.6937021144651823,0.7433770429494488,43.6725453046875,,
spair_synthetic_30_70,train,kitti2015,val,63.44220675951636,0.7201181838505782,0.8272557732805083,48.4614989140625,,
spair_synthetic_30_70,train,middlebury,val,63.484710693359375,0.5,0.6281114597340505,17.261476953125,,
spair_synthetic_30_70,train,pfpascal,test,63.46178541839271,0.6669298245614035,0.7198684210526316,58.835235421875,9.922499440556443,19.743761296046774
spair_synthetic_30_70,train,pfwillow,test,63.455125,0.6744727807748896,0.7296468857282982,60.666559453125,5.326422180058607,10.9637189403686
spair_synthetic_30_70,train,pointodyssey,test,63.425066046875,0.7449891844942714,0.8724155460886871,61.1026258125,1.784367867623085,12.789213012458207
spair_synthetic_30_70,train,spair,test,63.21813015125442,0.7491026048284625,1.576275207591928,63.2297613046875,1.238836394777386,1.4737823777590733
spair_synthetic_30_70,train,tss,val,63.3773649597168,0.7005157979871559,0.7928727412862885,61.385191726562496,1.3555031462220415,9.969824168155693
spair_synthetic_50_50,train,flyingthings,test,63.4303036041609,0.6677134937406821,0.727226287006978,63.413296328125,0.5,0.623360383114284
spair_synthetic_50_50,train,kitti2012,val,63.458604006423165,0.675677631114562,0.7341044916590197,43.491199656250004,,
spair_synthetic_50_50,train,kitti2015,val,63.44804567558435,0.7080318856514569,0.8170545359624108,48.3064408671875,,
spair_synthetic_50_50,train,middlebury,val,63.49195988972982,0.5,0.5,17.24414234375,,
spair_synthetic_50_50,train,pfpascal,test,63.46727423363711,0.6493657505285413,0.7131606765327696,58.81836932812501,10.008329533549173,19.975543732516797
spair_synthetic_50_50,train,pfwillow,test,63.464055555555554,0.6529959278650378,0.7184409540430482,60.715540203125,5.3145867067355095,10.839165384698708
spair_synthetic_50_50,train,pointodyssey,test,63.41035096875,0.7999878847483235,0.9583571877095917,61.132484968750006,1.7365571331560505,12.607809314724749
spair_synthetic_50_50,train,spair,test,63.283258140114114,0.7360010457820125,1.2744632768361568,63.230937671875004,1.2374031047419098,1.4713260212928332
spair_synthetic_50_50,train,tss,val,63.41704437255859,0.6824668484322718,0.7459195687197918,61.512221328124994,1.330679425267685,8.593508759101187
spair_synthetic_70_30,train,flyingthings,test,63.441548860318605,0.6259290139610746,0.7037396170050721,63.409529203125004,0.5,0.6233503922689246
spair_synthetic_70_30,train,kitti2012,val,63.470836836038174,0.63087063437714,0.708166282761626,43.40769321875,,
spair_synthetic_70_30,train,kitti2015,val,63.45709343979706,0.6867218775784617,0.7907718830646866,48.243373164062504,,
spair_synthetic_70_30,train,middlebury,val,63.49258677164714,0.5,0.5,17.1770588359375,,
spair_synthetic_70_30,train,pfpascal,test,63.47379867439933,0.6136718749999999,0.6922526041666665,58.8566253046875,9.93947886204582,19.81423800316398
spair_synthetic_70_30,train,pfwillow,test,63.47445833333333,0.6078869047619048,0.6915922619047619,60.7522851640625,5.290581118108694,10.623003714234006
spair_synthetic_70_30,train,pointodyssey,test,63.43682303125,0.7276897500191091,0.867277415904368,61.147540640624996,1.757601727304824,12.462562175306672
spair_synthetic_70_30,train,spair,test,63.332990388098914,0.7232177598665928,1.1558350100603603,63.225745882812504,1.2375731569348494,1.4707194486556492
spair_synthetic_70_30,train,tss,val,63.445540008544924,0.6415853051769561,0.7251082780727726,61.5158785859375,1.321438480021799,8.071823563853957
synthetic,train,flyingthings,test,63.41188336509862,0.6998840714471997,0.7451615196126169,63.4021202265625,0.5,0.654306028239044
synthetic,train,kitti2012,val,63.444817297237435,0.7047812903339875,0.7486858855354586,43.414436492187505,,
synthetic,train,kitti2015,val,63.43595005656192,0.7276769991015275,0.8398993104394664,48.1269261015625,,
synthetic,train,middlebury,val,63.47983169555664,0.5334447572132301,0.6775686136523573,17.205986515625,,
synthetic,train,pfpascal,test,63.45163628831814,0.6906003159557661,0.7382701421800947,58.696630546875,10.267807271743756,20.969609271004607
synthetic,train,pfwillow,test,63.45019444444445,0.6843192692474989,0.7332535885167463,60.6497708046875,5.401317035605313,11.110213442919145
synthetic,train,pointodyssey,test,63.4163173515625,0.7465349174285824,0.8953902327156238,61.01609740625,1.912756760564798,14.379543033029478
synthetic,train,spair,test,62.909217632007966,0.742457582814505,1.2930509596293838,63.2281547890625,1.2426910715639783,1.476007489457014
synthetic,train,tss,val,63.256589813232424,0.7081647538700494,0.7996864186851207,61.446121171875,1.3619265614495633,9.483884400766204
synthetic_2d_warp,train,flyingthings,test,63.46667459518467,0.5,0.5,63.3953968984375,0.5,0.6378527290001555
synthetic_2d_warp,train,kitti2012,val,63.499945886356315,0.5,0.5,43.6275985703125,,
synthetic_2d_warp,train,kitti2015,val,63.4998931812283,0.5,0.5,48.4363156640625,,
synthetic_2d_warp,train,middlebury,val,63.5,0.5,0.5,17.1769060390625,,
synthetic_2d_warp,train,pfpascal,test,63.4983429991715,0.5,0.5,58.739728679687495,10.215479932855184,20.626182965299677
synthetic_2d_warp,train,pfwillow,test,63.485416666666666,0.5,0.5,60.661700562499995,5.397355028858124,11.103721124603819
synthetic_2d_warp,train,pointodyssey,test,63.4998786328125,0.5,0.5,61.085480546875004,1.8299468504437608,13.376068376068325
synthetic_2d_warp,train,spair,test,63.02927723938049,0.701309823677582,1.5237662337662328,63.226593742187504,1.2420350970982204,1.4765081453006033
synthetic_2d_warp,train,tss,val,63.36150253295898,0.5,0.5,61.4263067265625,1.3840930906859845,9.91371762876894
synthetic_large_zoom,train,flyingthings,test,63.35831622509989,0.6862787010484104,0.7344449312025169,63.496467195312505,0.5,0.5
synthetic_large_zoom,train,kitti2012,val,63.456627285357605,0.6803310519840049,0.7280702091664103,56.502022781250005,26.13209953283905,44.61755908177152
synthetic_large_zoom,train,kitti2015,val,63.44564454875343,0.7095860103376648,0.7891131427116911,59.592936609375,12.185014598840331,28.12597269811038
synthetic_large_zoom,train,middlebury,val,63.46683120727539,0.5611214605067065,0.7137295081967212,34.2202294375,,
synthetic_large_zoom,train,pfpascal,test,63.312603562551786,0.7100819672131147,0.8154494382022465,62.0422708515625,3.4305607367918594,4.7325663582779
synthetic_large_zoom,train,pfwillow,test,63.26305555555555,0.7244165170556554,0.9325657894736834,62.871601765625,1.9152902641299048,2.6589342001012946
synthetic_large_zoom,train,pointodyssey,test,63.4355912421875,0.7210053491076792,0.8029639871603064,63.3902410234375,0.5,0.5
synthetic_large_zoom,train,spair,test,59.354771420161214,9.979772961816304,30.277412935323387,63.357917898437506,0.939797176641088,1.1313744737694296
synthetic_large_zoom,train,tss,val,63.084185485839846,0.7527285956827557,1.6711213517665102,63.42576596875,0.5,0.5
synthetic_random_flipping,train,flyingthings,test,63.42775043688323,0.6897336896777931,0.7367396451506673,62.411643546875,2.8971361843576564,5.407415995768083
synthetic_random_flipping,train,kitti2012,val,63.450220796250804,0.6945060831330464,0.7407714307007247,29.588914929687498,,
synthetic_random_flipping,train,kitti2015,val,63.441462394895225,0.7187369509835847,0.8191507945452497,32.482340984375,,
synthetic_random_flipping,train,middlebury,val,63.481711069742836,0.5,0.6207680423747516,11.193513320312501,,
synthetic_random_flipping,train,pfpascal,test,63.4585231980116,0.6761217948717948,0.7244791666666666,44.894429718750004,,
synthetic_random_flipping,train,pfwillow,test,63.458958333333335,0.6743744414655943,0.7246425379803395,52.3010789453125,58.36405225264261,
synthetic_random_flipping,train,pointodyssey,test,63.41628090625,0.7450389455025512,0.8984701721557843,46.606903406250005,,
synthetic_random_flipping,train,spair,test,63.44315222805905,0.6766250407716323,0.7280718512650854,62.79764547656251,2.2881735152571654,3.444546119585472
synthetic_random_flipping,train,tss,val,63.45755569458007,0.6769395839420604,0.7259890117785686,60.443771265625,3.5973900265895433,22.59047735021919
synthetic_small_zoom,train,flyingthings,test,54.38741326059302,,,63.49732125,0.5,0.5
synthetic_small_zoom,train,kitti2012,val,52.0549778889135,,,61.704754265625,6.861806941511629,12.185329581663193
synthetic_small_zoom,train,kitti2015,val,48.87882833580639,,,62.915397359375,0.9222765223477658,3.8898573953519007
synthetic_small_zoom,train,middlebury,val,62.17373657226562,0.6694330708661419,1.481318681318681,47.278789882812504,32.49485285814627,41.5853552007261
synthetic_small_zoom,train,pfpascal,test,58.5149130074565,18.09066666666666,38.43333333333329,62.54796896875,2.50009082489472,2.841217190039792
synthetic_small_zoom,train,pfwillow,test,58.104194444444445,19.00436681222709,41.55656108597289,63.181584195312496,1.2814650044400748,1.4476821230580126
synthetic_small_zoom,train,pointodyssey,test,39.201144500000005,,,63.4281590546875,0.5,0.5
synthetic_small_zoom,train,spair,test,48.65492539172176,,,63.376462578125,0.9046297854646616,0.9989165274758636
synthetic_small_zoom,train,tss,val,59.679374847412106,9.442614275319189,27.480494584491474,63.44364476562501,0.5,0.5
