space,train_dataset,train_split,eval_dataset,eval_split,direction,epsilon_px,epsilon_norm,epsilon_sq,coverage
flow,flyingthings,train,middlebury,val,eval_to_train,16.0,0.0625,0.00390625,1.0
flow,flyingthings,train,middlebury,val,train_to_eval,16.0,0.0625,0.00390625,0.5303501781587057
flow,flyingthings,train,middlebury,val,eval_to_train,24.0,0.09375,0.0087890625,1.0
flow,flyingthings,train,middlebury,val,train_to_eval,24.0,0.09375,0.0087890625,0.6832028574944359
flow,flyingthings,train,middlebury,val,eval_to_train,32.0,0.125,0.015625,1.0
flow,flyingthings,train,middlebury,val,train_to_eval,32.0,0.125,0.015625,0.7678529033716401
flow,flyingthings,train,middlebury,val,eval_to_train,48.0,0.1875,0.03515625,1.0
flow,flyingthings,train,middlebury,val,train_to_eval,48.0,0.1875,0.03515625,0.8588530297680191
flow,flyingthings,train,middlebury,val,eval_to_train,64.0,0.25,0.0625,1.0
flow,flyingthings,train,middlebury,val,train_to_eval,64.0,0.25,0.0625,0.9088087743162557
flow,imagenet2dwarp,train,flyingthings,test,eval_to_train,0.5,0.001953125,3.814697265625e-06,0.9933336899536971
flow,imagenet2dwarp,train,flyingthings,test,train_to_eval,0.5,0.001953125,3.814697265625e-06,0.980695703125
flow,imagenet2dwarp,train,flyingthings,test,eval_to_train,0.75,0.0029296875,8.58306884765625e-06,0.9939700198664545
