train_dataset,train_split,eval_dataset,eval_split,eval_to_train_auc_weighted,train_to_eval_auc_weighted,eval_to_train_eps_at90_weighted,train_to_eval_eps_at90_weighted,eval_to_train_eps_at95_weighted,train_to_eval_eps_at95_weighted
pointodyssey_synthetic_30_70,train,spair,test,57.052207397427765,62.3582915625,18.17452041318249,2.764485874038111,28.708774767488855,3.3254753048341277
pointodyssey_synthetic_30_70,train,tss,val,61.36273818969726,60.638445585937504,2.9804619462324884,5.335726125373602,10.610465116279054,12.72748464010389
pointodyssey_synthetic_50_50,train,flyingthings,test,63.10443625024581,61.475709085937496,1.3880963778400983,5.772209968151639,1.9361842336521078,10.521380092024113
pointodyssey_synthetic_50_50,train,kitti2012,val,63.394861909532054,49.9838906640625,0.9010587034779898,62.95804027509906,1.1264815528988292,
pointodyssey_synthetic_50_50,train,kitti2015,val,63.328426097325675,53.362841859374996,1.1287645541923892,46.94462873181936,1.394713604751114,
pointodyssey_synthetic_50_50,train,middlebury,val,63.269589742024735,32.625604335937496,1.191313840896146,,1.424615530662616,
pointodyssey_synthetic_50_50,train,pfpascal,test,62.314623032311516,60.5705913515625,3.0628099173553722,5.725344057615838,4.19210526315789,11.106051592375541
pointodyssey_synthetic_50_50,train,pfwillow,test,61.99772222222222,61.794846585937506,3.6617021276595754,3.060903593459953,5.639436619718302,5.741146225329303
pointodyssey_synthetic_50_50,train,pointodyssey,test,63.4252981640625,58.992101476562496,0.6769044532186146,12.448878393817136,0.9651197150888803,22.829234860085105
pointodyssey_synthetic_50_50,train,spair,test,56.69109314147269,62.4999317421875,18.897643097643098,2.5796244668887174,28.975224416517037,2.954025016508724
pointodyssey_synthetic_50_50,train,tss,val,61.30565307617188,61.372694609374996,3.477931967336307,3.656569026489624,11.061297287149157,8.489042427914544
pointodyssey_synthetic_70_30,train,flyingthings,test,63.038724030728204,62.1822432109375,1.539332692664943,3.6602542336405266,2.404612694915766,7.285662343058973
pointodyssey_synthetic_70_30,train,kitti2012,val,63.39667660428077,54.403235968749996,0.8804272013949433,42.49393348851161,1.127540255413658,
pointodyssey_synthetic_70_30,train,kitti2015,val,63.317535479747896,56.75663646093751,1.1850157482770447,26.993913989182026,1.5076160322872427,60.38189272389376
pointodyssey_synthetic_70_30,train,middlebury,val,63.25387191772461,39.912790656249996,1.2751173285198558,,1.4969223826714801,
pointodyssey_synthetic_70_30,train,pfpascal,test,62.04784589892295,61.3973626328125,3.836363636363634,3.945394066189797,5.474242424242418,7.193251129591018
pointodyssey_synthetic_70_30,train,pfwillow,test,61.68608333333333,62.3148593828125,4.442231075697211,2.236801301090905,6.690058479532161,3.7364648252927704
pointodyssey_synthetic_70_30,train,pointodyssey,test,63.4208224140625,60.5418527578125,0.628703392821257,7.740365140158369,0.9508441347991112,15.553313453877
pointodyssey_synthetic_70_30,train,spair,test,55.60777726202336,62.64153937500001,21.30761259465924,2.302188224459627,34.64889658156641,2.7926977841843774
pointodyssey_synthetic_70_30,train,tss,val,60.88215347290039,62.0880485859375,3.9174779460865303,2.16689547996441,12.397996837111194,5.050643885728784
sintel,train,flyingthings,test,62.07231092998583,63.36236331877401,3.283172758739846,0.5885703158573272,7.066865688779174,1.1334618774790632
sintel,train,kitti2012,val,63.31539539455139,61.67473257103296,1.0763911984222132,1.8433231839930444,1.4605050465988632,9.473019539897942
sintel,train,kitti2015,val,63.04135722890681,62.421618898595106,1.8204636542239692,0.9078203786509382,2.982209691411576,3.75462494247583
sintel,train,middlebury,val,62.34832255045573,50.84877358618891,2.3132155907429977,29.605791706450393,7.134880879657908,46.069883842128405
sintel,train,pfpascal,test,57.40461888980944,62.635902250878054,16.76065573770492,2.4027451407459397,25.37333333333332,2.832700490866336
sintel,train,pfwillow,test,55.01823611111111,63.19148774747089,24.23616236162363,1.2870197040800218,45.85185185185185,1.440000287022287
sintel,train,pointodyssey,test,63.245709625,63.201082755463496,0.7737970806163447,0.8764181777892677,1.428427475369195,1.7109417929471724
sintel,train,spair,test,36.38925086042931,62.854194281996726,,1.8765483959320743,,2.1919472450461113
sintel,train,tss,val,55.693950195312496,63.308848854673236,22.401069220916657,0.7109859686812909,,0.8049944273045914
sintel_synthetic_30_70,train,flyingthings,test,63.106647639852916,61.00022659375,1.3764621809190758,6.998845063915853,1.8711343755605085,12.165655389116123
sintel_synthetic_30_70,train,kitti2012,val,63.39205995540029,46.978470375,0.8988367963061625,,1.0902165898617517,
sintel_synthetic_30_70,train,kitti2015,val,63.32425251345488,51.097273445312496,1.1357760559860035,57.58273184933584,1.3909635091227188,
sintel_synthetic_30_70,train,middlebury,val,63.17425664265951,27.517163031250004,1.3711238758886954,,1.4868355383963463,
sintel_synthetic_30_70,train,pfpascal,test,62.397110604805306,59.9962540625,2.9612244897959186,6.951705454272915,4.202439024390242,13.44389666224721
sintel_synthetic_30_70,train,pfwillow,test,62.098083333333335,61.4780281875,3.4390804597701146,3.6105514220965094,5.3597359735973615,7.183228018708919
sintel_synthetic_30_70,train,pointodyssey,test,63.42250971875,57.94353422656249,0.7099589044007029,15.03631109167885,0.9841527770394677,27.98470507517058
sintel_synthetic_30_70,train,spair,test,56.84842716918757,62.385190421874995,17.67148288973385,2.7100473128976006,28.687931034482766,3.0978146161287476
sintel_synthetic_30_70,train,tss,val,61.1839015197754,60.8598862890625,3.3525164349606644,4.930149448316189,10.390703876559657,11.864404003097636
sintel_synthetic_70_30,train,flyingthings,test,62.93928099224169,62.327496984375,1.74813479703855,3.1909924406149446,2.696030208122093,6.416532980152209
sintel_synthetic_70_30,train,kitti2012,val,63.37442677291398,55.247617273437506,0.9461321776814735,38.224435565135195,1.2363737397793118,
sintel_synthetic_70_30,train,kitti2015,val,63.27137783360513,57.4551034140625,1.298425615658742,22.764568055259737,1.6940861801815095,54.45503878734539
sintel_synthetic_70_30,train,middlebury,val,63.10097249348958,40.5982058203125,1.447468884299827,,2.065480581471034,
sintel_synthetic_70_30,train,pfpascal,test,61.797638773819386,61.51584684375,4.523076923076922,3.675998428955893,5.849450549450545,5.9798175283384
sintel_synthetic_70_30,train,pfwillow,test,61.22977777777778,62.4439546953125,5.576138147566719,2.028262143900914,8.499999999999984,3.4436301114471513
sintel_synthetic_70_30,train,pointodyssey,test,63.39356715625,60.9084378984375,0.7401485110414373,6.7043527560336305,1.1239017135996505,13.840545133668858
sintel_synthetic_70_30,train,spair,test,54.11603625124536,62.6487985546875,25.130476516969505,2.2687174822158354,43.1748629886737,2.7631083092884285
sintel_synthetic_70_30,train,tss,val,60.53148071289063,62.209092734375,5.069835862496133,1.8905659843390468,15.224964307566792,4.408259076669825
spair,train,flyingthings,test,62.57748343251663,50.123415366937905,1.9992297318862136,38.71232545745249,2.5616118645690635,51.13624606780846
spair,train,kitti2012,val,62.6753728807587,20.163494036855248,1.948756741853773,,2.286416558861578,
spair,train,kitti2015,val,62.5968494277697,23.890774347713766,2.0844145925060658,,2.5431283134154006,
spair,train,middlebury,val,62.642100016276046,6.429935403750105,2.3404629319020462,,2.670231465951023,
spair,train,pfpascal,test,62.42388152444076,45.63980695126152,2.609501187648456,,2.8961995249406174,
spair,train,pfwillow,test,62.39890277777778,52.932037371910795,2.6790560471976406,39.75934102141677,2.944542772861357,
spair,train,pointodyssey,test,62.5346884375,37.74082924308964,2.2869995910597707,,2.6488935995425655,
spair,train,spair,test,61.185205993569426,61.13619435115819,5.34117949376847,5.447495288723878,7.312039660056648,7.41015857683329
spair,train,tss,val,62.386341705322266,52.83866040482649,2.6195575631623242,41.46691542288562,2.9713085893890723,
spair_synthetic_30_70,train,flyingthings,test,63.106527882800776,59.953392281250004,1.2940978360701407,9.798861085606665,1.5778892782710263,15.463343308606351
spair_synthetic_30_70,train,kitti2012,val,63.326933241382086,40.3427615546875,0.9618895631067962,,1.1375904159132009,
spair_synthetic_30_70,train,kitti2015,val,63.27981927120827,45.92861432812501,1.0752997131579594,,1.3256135232538178,
spair_synthetic_30_70,train,middlebury,val,63.2883669535319,17.1340271796875,0.9846610210037797,,1.2461580159913264,
spair_synthetic_30_70,train,pfpascal,test,62.61764705882353,58.8497361484375,2.592626728110599,9.850637872617547,3.379999999999997,19.671925677532837
spair_synthetic_30_70,train,pfwillow,test,62.31531944444445,60.6696936875,2.94026284348865,5.347737361871851,4.553990610328633,10.970380012063874
spair_synthetic_30_70,train,pointodyssey,test,63.321310695312505,55.547765859375005,0.9472211495587546,21.2690455215441,1.0641829153460236,41.82370835718813
spair_synthetic_30_70,train,spair,test,57.884061396159765,62.17879182812499,15.215690866510535,2.9102903563789115,25.54442577030809,3.6605957614329756
spair_synthetic_30_70,train,tss,val,61.59521850585938,59.6663633203125,2.8116365493177513,7.649907015115292,9.045430440162617,21.523754864498827
spair_synthetic_50_50,train,flyingthings,test,63.12215173926452,59.9443895859375,1.2662455761817684,9.845404209288887,1.508547733148678,15.391842690448327
spair_synthetic_50_50,train,kitti2012,val,63.32201110210615,40.14937340625,0.9623851383028598,,1.136378453896305,
spair_synthetic_50_50,train,kitti2015,val,63.24837384488812,45.80804959375,1.2138875214313603,,1.3872065388989796,
spair_synthetic_50_50,train,middlebury,val,63.253726959228516,17.126847249999997,1.2348271933156096,,1.3903911887580704,
spair_synthetic_50_50,train,pfpascal,test,62.64576429163215,58.835644007812505,2.527601809954751,9.94214098213714,3.2587301587301556,19.719711746304036
spair_synthetic_50_50,train,pfwillow,test,62.30963888888889,60.71973716406251,2.9516908212560393,5.312671006162614,4.7619047619047565,10.863774967497918
spair_synthetic_50_50,train,pointodyssey,test,63.3126313828125,55.55043384374999,0.9663973526140656,21.31200702889435,1.1863861555449147,41.622915470494384
spair_synthetic_50_50,train,spair,test,57.92861833167285,62.181983843750004,15.186493218931641,2.9074476806462597,24.676993166286977,3.685707273196738
spair_synthetic_50_50,train,tss,val,61.695188140869135,59.787964328125,2.780905931485647,7.651072913040806,9.003958828186848,19.96740230262256
spair_synthetic_70_30,train,flyingthings,test,63.110945564112896,59.97510625,1.2832299146935033,9.752733011357115,1.577975097202011,15.282048312256128
spair_synthetic_70_30,train,kitti2012,val,63.32042859264256,40.092921515625,0.9670628721767421,,1.1559394157951675,
spair_synthetic_70_30,train,kitti2015,val,63.27837216761916,45.745945851562496,1.0757559369856573,,1.3158229485069357,
spair_synthetic_70_30,train,middlebury,val,63.261653900146484,17.055537945312498,1.1445464592365893,,1.3534727535492643,
spair_synthetic_70_30,train,pfpascal,test,62.59465617232809,58.8655233828125,2.6232142857142855,9.901816914483815,3.465384615384612,19.963751285553954
spair_synthetic_70_30,train,pfwillow,test,62.346444444444444,60.771301148437495,2.9311163895486945,5.329082652447882,4.568720379146918,10.270612557473601
spair_synthetic_70_30,train,pointodyssey,test,63.315360609375,55.523245968750004,0.9551183397973337,21.400107557171765,1.1123927440865335,41.79255345415041
spair_synthetic_70_30,train,spair,test,58.254459231500775,62.1781844921875,14.853385344106998,2.9185703697909116,22.72309600595385,3.7050716249932663
spair_synthetic_70_30,train,tss,val,61.85837036132813,59.8023983125,2.792734566525519,7.463019577411241,8.937312490131042,19.60966020491653
synthetic,train,flyingthings,test,63.10552078526407,59.8419324140625,1.2954035772850223,10.242272739233506,1.580824217959353,15.85038360895027
synthetic,train,kitti2012,val,63.313633869603734,40.089177484375,0.9705888205899261,,1.162825672527006,
synthetic,train,kitti2015,val,63.26022277070142,45.604732851562495,1.1598191753601592,,1.3627014406358668,
synthetic,train,middlebury,val,63.24608612060547,17.065677695312502,1.213020384725811,,1.3894200401952337,
synthetic,train,pfpascal,test,62.63287075393538,58.701439289062506,2.520535714285715,10.198412686001149,3.2111111111111144,21.290016817000428
synthetic,train,pfwillow,test,62.364041666666665,60.657607140625,2.8834586466165426,5.402781288768032,4.399999999999999,11.093294372997104
synthetic,train,pointodyssey,test,63.300040515625,55.34203525000001,0.9716124038159007,21.874896608511918,1.175699092128784,44.24026983827629
synthetic,train,spair,test,58.19612552078616,62.1658353828125,14.498080779146385,2.9163735275537883,22.78263718263718,3.6983169824428175
synthetic,train,tss,val,61.797985382080086,59.7246767890625,2.701895763863159,7.62018249064873,8.3280670957675,20.726616451636943
