dataset1,split1,dataset2,split2,mmd2,mmd,num_vectors1,num_vectors2
spair_synthetic_70_30,train,tss,val,0.00011758889013435692,0.010843841115322416,1638400,409600
spair_synthetic_70_30,train,middlebury,val,0.00018882616132032126,0.013741403178726736,1638400,49152
spair,train,flyingthings,train,0.00048821879317983985,0.022095673630370263,1638400,184320
spair,train,pointodyssey,test,0.0023049735464155674,0.048010140037450084,1638400,1638400
spair,train,synthetic,val,0.000617740792222321,0.024854391809543862,1638400,1638400
spair,train,kitti2012,val,0.0005063695716671646,0.022502656991279152,1638400,198656
spair,train,kitti2015,val,0.0005661805626004934,0.02379454901023538,1638400,204800
spair,train,spair,test,0.0003443244786467403,0.018555982287304013,1638400,1638400
spair,train,pfpascal,test,0.0003430400392971933,0.01852134010532697,1638400,306176
spair,train,pfwillow,test,0.0004785234632436186,0.021875179159120472,1638400,921600
spair,train,flyingthings,test,0.0004981860402040184,0.02232008154563998,1638400,165888
spair,train,tss,val,0.0003660850634332746,0.01913334950899279,1638400,409600
spair,train,middlebury,val,0.0005566447507590055,0.02359332004527988,1638400,49152
flyingthings,train,pointodyssey,test,0.0019839107990264893,0.04454111358089837,184320,1638400
flyingthings,train,synthetic,val,0.00032079272205010056,0.017910687369559565,184320,1638400
flyingthings,train,kitti2012,val,0.00027363342815078795,0.016541868943707298,184320,198656
flyingthings,train,kitti2015,val,0.00033285084646195173,0.018244200351398024,184320,204800
flyingthings,train,spair,test,0.00025619560619816184,0.016006111526481435,184320,1638400
flyingthings,train,pfpascal,test,0.00013944326201453805,0.0118086096562863,184320,306176
flyingthings,train,pfwillow,test,0.00026536567020229995,0.016290048195211085,184320,921600
flyingthings,train,flyingthings,test,0.00017910290625877678,0.013382933395140871,184320,165888
flyingthings,train,tss,val,0.0002132436347892508,0.014602863924218796,184320,409600
flyingthings,train,middlebury,val,0.00024610100081190467,0.01568760659922044,184320,49152
pointodyssey,test,synthetic,val,0.0021574131678789854,0.046447961934610066,1638400,1638400
pointodyssey,test,kitti2012,val,0.001993719954043627,0.044651091297342634,1638400,198656
pointodyssey,test,kitti2015,val,0.002056775614619255,0.04535168811212274,1638400,204800
pointodyssey,test,spair,test,0.0020937807857990265,0.04575784944464749,1638400,1638400
pointodyssey,test,pfpascal,test,0.0019498527981340885,0.04415713756726186,1638400,306176
pointodyssey,test,pfwillow,test,0.002030783100053668,0.0450642108557741,1638400,921600
pointodyssey,test,flyingthings,test,0.002072761533781886,0.04552759090685434,1638400,165888
pointodyssey,test,tss,val,0.0019963900558650494,0.044680980918787465,1638400,409600
pointodyssey,test,middlebury,val,0.002022187691181898,0.04496874126748377,1638400,49152
synthetic,val,kitti2012,val,0.000409043044783175,0.020224812601929716,1638400,198656
synthetic,val,kitti2015,val,0.0004916894831694663,0.02217407231812565,1638400,204800
synthetic,val,spair,test,0.0003755755606107414,0.019379771944239732,1638400,1638400
synthetic,val,pfpascal,test,0.00026693649124354124,0.016338191186405587,1638400,306176
