dataset1,split1,dataset2,split2,representation,k,neighbor_agg,self_radius_k,radius_quantile,radius_train,radius_eval,recall,precision,outside,train_to_eval_coverage,eval_to_train_coverage,mean_nn_eval_to_train,median_nn_eval_to_train,p90_nn_eval_to_train,mean_nn_train_to_eval,median_nn_train_to_eval,p90_nn_train_to_eval,kl_method,kl_knn_k,kl_bins,kl_eps,kl_eval_to_train,kl_train_to_eval,n_train_vectors,n_eval_vectors,kl_eval_to_train_hist,kl_train_to_eval_hist,kl_eval_to_train_hist_log1p_linear,kl_train_to_eval_hist_log1p_linear,kl_eval_to_train_hist_radius,kl_train_to_eval_hist_radius,kl_eval_to_train_hist_median,kl_train_to_eval_hist_median,kl_eval_to_train_hist_rank,kl_train_to_eval_hist_rank
spair_2d_warp_50_50,train,spair,test,dino,5,median,5,0.99,0.32733356118202184,0.21129608154296875,0.53221,0.199267578125,0.800732421875,0.53221,0.199267578125,0.31154313683509827,0.3187720775604248,0.4413081407546997,0.33492279052734375,0.3317451477050781,0.5178663730621338,knn,20,50,1e-06,133.2368086142332,53.05506342802454,20480,100000,0.09382625279365671,0.14232535195454332,0.09399188099769942,0.16212938777462058,0.7431143984331693,4.096150039201319,0.06579676790221423,0.08772054203051893,0.09382599750733538,0.1423240126858426
spair_2d_warp_50_50,train,pfpascal,test,dino,5,median,5,0.99,0.32733356118202184,0.31635703325271686,0.5742958470394737,0.649951171875,0.35004882812500004,0.5742958470394737,0.649951171875,0.3070756196975708,0.3079984486103058,0.43941444158554077,0.2732475697994232,0.27151358127593994,0.4170193850994112,knn,20,50,1e-06,44.52102342450975,41.76903121929166,20480,77824,0.05830087822773489,0.06376956618581885,0.07773176065688649,0.06611293270776912,0.037561520349104906,0.04266561153848651,0.037566241714660956,0.042624226742527305,0.05829420095406756,0.06376203314917141
spair_2d_warp_50_50,train,pfwillow,test,dino,5,median,5,0.99,0.32733356118202184,0.21206200122833252,0.59354,0.2,0.8,0.59354,0.2,0.3025868237018585,0.30018070340156555,0.44640883207321175,0.332567036151886,0.32969585061073303,0.506137365102768,knn,20,50,1e-06,141.89981861423323,53.496988476852664,20480,100000,0.08337297978249276,0.10868579894117243,0.08614180805257687,0.13245487471028425,0.7479213851534859,4.128482070299551,0.03120501473786803,0.039850884974537745,0.0833531933401454,0.10861300929623646
spair_2d_warp_50_50,train,pointodyssey,test,dino,5,median,5,0.99,0.32733356118202184,0.11684389948844862,0.15589,0.00185546875,0.99814453125,0.15589,0.00185546875,0.42628613114356995,0.4367510676383972,0.5498299300670624,0.4756058156490326,0.48268890380859375,0.6246568679809571,knn,20,50,1e-06,1595.3579686142334,94.99648798857143,20480,100000,0.1563630838315904,0.30173022127300453,0.15681363658211858,0.5391060318706631,3.9565572884363105,21.774778388196616,0.02872624502134467,0.0358228849044713,0.15644442807640144,0.30178871841377275
spair_2d_warp_50_50,train,flyingthings,test,dino,5,median,5,0.99,0.32733356118202184,0.28478713095188146,0.12009393601190477,0.121875,0.878125,0.12009393601190477,0.121875,0.45665091276168823,0.4700411856174469,0.5823180556297303,0.42919492721557617,0.4415784776210785,0.5716458559036255,knn,20,50,1e-06,103.78916152086832,89.60358285373401,20480,43008,0.04158882560005681,0.042315865758092534,0.04289835561881888,0.043288568467936064,0.12423226667630755,0.20040490535906472,0.03354272494159445,0.0412490832597452,0.04158854876700069,0.04231162192944951
spair_2d_warp_50_50,train,tss,val,dino,5,median,5,0.99,0.32733356118202184,0.2353616976737975,0.6342,0.299462890625,0.700537109375,0.6342,0.299462890625,0.2940504848957062,0.2977917790412903,0.4074631750583649,0.32659465074539185,0.3155444264411926,0.5181146264076233,knn,20,50,1e-06,104.29028861423322,51.29681757841517,20480,100000,0.21819004036540612,0.28839244402783176,0.21915564603154303,0.3064713046663921,0.5699134260887392,3.55419565134617,0.1790968642973301,0.20700939035616508,0.2181869382635816,0.2883675423036651
spair_2d_warp_50_50,train,middlebury,val,dino,5,median,5,0.99,0.32733356118202184,0.2801782995462417,0.24617513020833334,0.13427734375,0.86572265625,0.24617513020833334,0.13427734375,0.3841499388217926,0.39521723985671997,0.4884538650512696,0.41258788108825684,0.42439329624176025,0.5460750937461853,knn,20,50,1e-06,53.96539512577545,88.15711871336364,20480,12288,0.11376154257367656,0.16389625015914874,0.12153701292206212,0.18458106335935273,0.49348634841005157,1.9807971770389792,0.02980419299143537,0.032997755366958946,0.11375993782229644,0.1638866229496686
spair_2d_warp_30_70,train,kitti2015,val,dino,5,median,5,0.99,0.3282946944236753,0.2412361127138137,0.49881685697115385,0.16171875,0.83828125,0.49881685697115385,0.16171875,0.3211115300655365,0.32861658930778503,0.4371842503547669,0.37234893441200256,0.37619632482528687,0.52996963262558,knn,20,50,1e-06,111.94591208279314,68.31864621184457,20480,53248,0.1968155989146244,0.38624340661848966,0.19916047754041805,0.4190006030403549,0.8332895796419233,4.709627843592757,0.03446835881624973,0.04219293655270295,0.19678923637368337,0.38610486634136054
spair_2d_warp_30_70,train,kitti2012,val,dino,5,median,5,0.99,0.3282946944236753,0.2504759114980698,0.454609375,0.18662109375,0.81337890625,0.454609375,0.18662109375,0.33165982365608215,0.3413294851779938,0.4471721827983856,0.36920294165611267,0.3710542917251587,0.5275086641311646,knn,20,50,1e-06,99.30637528394159,68.09390914126942,20480,51200,0.15002777634249173,0.29830091437455797,0.15103603930496548,0.31298499743640334,0.663010338688459,3.1165451991625397,0.060735655776044235,0.08714076099863602,0.15001615075309938,0.2982917650287187
spair_2d_warp_30_70,train,spair,test,dino,5,median,5,0.99,0.3282946944236753,0.21129608154296875,0.54153,0.1787109375,0.8212890625,0.54153,0.1787109375,0.3171111047267914,0.3173121511936188,0.44871765375137335,0.3304256498813629,0.3240145146846771,0.49616551399230957,knn,20,50,1e-06,135.9439186142332,52.43481806669642,20480,100000,0.05089402185487424,0.06030769363032355,0.05237033494220934,0.07729576865480446,0.7182375662924716,3.870722218777149,0.04105614602760389,0.04535751476898565,0.050884350075871186,0.060287492989493846
