dataset1,split1,dataset2,split2,representation,support_mode,normalization_mode,k,neighbor_agg,self_radius_k,radius_quantile,radius_train,radius_eval,recall,precision,outside,train_to_eval_coverage,eval_to_train_coverage,mean_nn_eval_to_train,median_nn_eval_to_train,p90_nn_eval_to_train,mean_nn_train_to_eval,median_nn_train_to_eval,p90_nn_train_to_eval,kl_method,kl_knn_k,kl_bins,kl_eps,kl_eval_to_train,kl_train_to_eval,n_train_vectors,n_eval_vectors,kl_eval_to_train_hist,kl_train_to_eval_hist
synthetic_large_zoom,train,pfwillow,test,flow,global_radius,train_zscore,1,first,5,0.95,0.040639325976371765,0.49386850744485855,0.16677777777777777,0.8152956322944892,0.1847043677055108,0.16677777777777777,0.8152956322944892,0.28711166977882385,0.23242820799350739,0.629793643951416,0.34878969192504883,0.29641032218933105,0.6162090301513672,knn,20,50,1e-06,4.295713489111693,2.5421886174235597,15999064,9000,0.6278458995821556,0.33909304668565426
synthetic_large_zoom,train,pointodyssey,test,flow,global_radius,train_zscore,1,first,5,0.95,0.040639325976371765,0.024023981764912605,0.9035626112131458,0.13076889998064886,0.8692311000193511,0.9035626112131458,0.13076889998064886,0.033943500369787216,0.02129434607923031,0.039298444986343384,0.12512992322444916,0.07715505361557007,0.26597362756729126,knn,20,50,1e-06,3.9929098898133772,3.572237681941717,15999064,13982160,1.1441398960354545,1.2924298898194522
synthetic_large_zoom,train,tss,val,flow,global_radius,train_zscore,1,first,5,0.95,0.040639325976371765,0.0901127681136131,0.1927575,0.3608144201435784,0.6391855798564217,0.1927575,0.3608144201435784,0.2517818808555603,0.17876777052879333,0.5892651557922363,0.18262486159801483,0.11906750500202179,0.39005717635154724,knn,20,50,1e-06,5.032486271843581,2.8838507428413114,15999064,800000,0.33484829272334127,0.2778583439746866
synthetic_large_zoom,train,middlebury,val,flow,global_radius,train_zscore,1,first,5,0.95,0.040639325976371765,0.05348641388118268,0.3615625,0.011169653424725347,0.9888303465752747,0.3615625,0.011169653424725347,0.12031683325767517,0.061000220477581024,0.312603908777237,0.9756156206130981,0.7030308842658997,2.1605987548828125,knn,20,50,1e-06,6.634307588045061,5.3567024038802575,15999064,96000,2.0241131222841497,9.349986894431778
synthetic_random_flipping,train,flyingthings,test,flow,global_radius,train_zscore,1,first,5,0.95,0.04802666995674371,0.041735369712114334,0.9116012585812358,0.3383249375,0.6616750625000001,0.9116012585812358,0.3383249375,0.05786745622754097,0.026891615241765976,0.046051682159304615,0.17198550701141357,0.06757687777280807,0.4776210874319076,knn,20,50,1e-06,2.30691110183919,3.3287429091733998,16000000,13984000,0.6851925966235637,1.0098983334494218
synthetic_random_flipping,train,kitti2015,val,flow,global_radius,train_zscore,1,first,5,0.95,0.04802666995674371,0.025176586676388977,0.9628105804187038,0.007862625,0.992137375,0.9628105804187038,0.007862625,0.026478860527276993,0.02023978903889656,0.03397463597357274,1.0716731548309326,0.9577966928482056,2.1194737195968627,knn,20,50,1e-06,5.307474716216801,6.156278467635222,16000000,398850,3.8651894795746182,12.185169565809595
synthetic_random_flipping,train,kitti2012,val,flow,global_radius,train_zscore,1,first,5,0.95,0.04802666995674371,0.03174469247460365,0.9628762886597938,0.0137800625,0.9862199375,0.9628762886597938,0.0137800625,0.02501687780022621,0.02064095437526703,0.034519538283348104,1.1163400411605835,0.9723055362701416,2.231394338607788,knn,20,50,1e-06,5.122482347168976,6.3641144009013555,16000000,388000,3.745397132623088,14.982762420812474
synthetic_random_flipping,train,spair,test,flow,global_radius,train_zscore,1,first,5,0.95,0.04802666995674371,0.2379161551594732,0.6627500793902826,0.8868753125,0.11312468750000004,0.6627500793902826,0.8868753125,0.046872638165950775,0.038627173751592636,0.08028934150934222,0.15385055541992188,0.13839995861053467,0.24634405970573425,knn,20,50,1e-06,0.5053237891363889,0.6776227612931356,16000000,56682,2.5819688176722377,2.1868510408356507
synthetic_random_flipping,train,pfpascal,test,flow,global_radius,train_zscore,1,first,5,0.95,0.04802666995674371,0.42719392925500865,0.8554266777133389,0.6261429375,0.37385706249999995,0.8554266777133389,0.6261429375,0.03408682346343994,0.031001543626189232,0.05217986665666104,0.49886202812194824,0.32018741965293884,1.1735490560531616,knn,20,50,1e-06,0.5872751641440619,0.9599081839534236,16000000,2414,3.863371406756905,14.730543113090736
synthetic_random_flipping,train,pfwillow,test,flow,global_radius,train_zscore,1,first,5,0.95,0.04802666995674371,0.25992658883333203,0.847,0.4841630625,0.5158369375,0.847,0.4841630625,0.03328380361199379,0.02996722422540188,0.05390352085232735,0.37434300780296326,0.26768314838409424,0.7934436798095703,knn,20,50,1e-06,1.1575070168645505,1.0479056386143029,16000000,9000,3.7754587562435455,15.168876544924503
synthetic_random_flipping,train,pointodyssey,test,flow,global_radius,train_zscore,1,first,5,0.95,0.04802666995674371,0.016155341640114784,0.9923853682120645,0.027094,0.972906,0.9923853682120645,0.027094,0.022150550037622452,0.020902492105960846,0.03377342708408832,0.4223549962043762,0.19549527764320374,1.226337456703186,knn,20,50,1e-06,6.42066911873696,5.549026071568762,16000000,13982160,2.10387402790519,16.03636362078934
