dataset1,split1,dataset2,split2,representation,k,bandwidth,bandwidth_scale,kernel,M_train,M_eval,recall,precision,outside
flyingthings,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.3459466472682483,0.2276763822890597,0.7723236177109403
flyingthings,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.4057849136901841,0.37436925073848204,0.625630749261518
flyingthings,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.359136189177216,0.2024012012866136,0.7975987987133863
flyingthings,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.3639400558766407,0.2765998229205412,0.7234001770794588
flyingthings,train,pointodyssey,val,resnet,5,,1.0,gaussian,100.0,20.0,0.25145673986796657,0.36726840198275523,0.6327315980172448
flyingthings,train,tss,val,resnet,5,,1.0,gaussian,100.0,20.0,0.35936281164093814,0.3934301028196687,0.6065698971803313
pointodyssey,train,middlebury,val,resnet,5,,1.0,gaussian,100.0,20.0,0.36770262317897073,0.35509226882697453,0.6449077311730255
pointodyssey,train,pfwillow,val,resnet,5,,1.0,gaussian,100.0,20.0,0.38011184849167895,0.3265369296798365,0.6734630703201635
pointodyssey,train,kitti2012,val,resnet,5,,1.0,gaussian,100.0,20.0,0.3816639411454963,0.14707171947490544,0.8529282805250946
pointodyssey,train,kitti,val,resnet,5,,1.0,gaussian,100.0,20.0,0.36161930085603683,0.16672911709789393,0.833270882902106
pointodyssey,train,flyingthings,val,resnet,5,,1.0,gaussian,100.0,20.0,0.3950082247167559,0.2794855929302831,0.7205144070697169
pointodyssey,train,pfpascal,val,resnet,5,,1.0,gaussian,100.0,20.0,0.41915466822997605,0.17621831318750086,0.8237816868124992
pointodyssey,train,spair,val,resnet,5,,1.0,gaussian,100.0,20.0,0.4296341672615527,0.253888317954017,0.746111682045983
pointodyssey,train,pointodyssey,val,resnet,5,,1.0,gaussian,100.0,20.0,0.2975566426125626,0.32459599663343575,0.6754040033665643
pointodyssey,train,tss,val,resnet,5,,1.0,gaussian,100.0,20.0,0.4141483238151876,0.3527509206069136,0.6472490793930864
