run_id,run_name,train_dataset,step_tag,logsteps,pretrained,freeze,timestamp,selected_training_steps,selected_epoch,selected_metric,selection_policy,metric,auc_steps,benchmarks,checkpoint_path
snapshots/synthetic_large_zoom_steps100_pretrainedTrue_freezeFalse_2025_12_13_11_44,synthetic_large_zoom_steps100_pretrainedTrue_freezeFalse_2025_12_13_11_44,synthetic,steps,100,True,False,2025_12_13_11_44,5000,50,240828.34,auc,pck,5000,__all__,snapshots/synthetic_large_zoom_steps100_pretrainedTrue_freezeFalse_2025_12_13_11_44/epoch_50.pth
snapshots/synthetic_large_zoom_steps100_pretrainedTrue_freezeTrue_2025_12_11_10_14,synthetic_large_zoom_steps100_pretrainedTrue_freezeTrue_2025_12_11_10_14,synthetic,steps,100,True,True,2025_12_11_10_14,5000,50,251565.675,auc,pck,5000,__all__,snapshots/synthetic_large_zoom_steps100_pretrainedTrue_freezeTrue_2025_12_11_10_14/epoch_50.pth
snapshots/synthetic_large_zoom_steps100_pretrainedTrue_freezeTrue_2025_12_13_11_43,synthetic_large_zoom_steps100_pretrainedTrue_freezeTrue_2025_12_13_11_43,synthetic,steps,100,True,True,2025_12_13_11_43,3000,30,247000.07,auc,pck,5000,__all__,snapshots/synthetic_large_zoom_steps100_pretrainedTrue_freezeTrue_2025_12_13_11_43/epoch_30.pth
snapshots/synthetic_logsteps100_pretrainedFalse_freezeFalse_2025_12_10_12_22,synthetic_logsteps100_pretrainedFalse_freezeFalse_2025_12_10_12_22,synthetic,logsteps,100,False,False,2025_12_10_12_22,3000,30,130366.155,auc,pck,5000,__all__,snapshots/synthetic_logsteps100_pretrainedFalse_freezeFalse_2025_12_10_12_22/epoch_30.pth
snapshots/synthetic_logsteps100_pretrainedFalse_freezeTrue_2025_12_10_12_08,synthetic_logsteps100_pretrainedFalse_freezeTrue_2025_12_10_12_08,synthetic,logsteps,100,False,True,2025_12_10_12_08,5000,50,127038.88,auc,pck,5000,__all__,snapshots/synthetic_logsteps100_pretrainedFalse_freezeTrue_2025_12_10_12_08/epoch_50.pth
snapshots/synthetic_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_12_17,synthetic_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_12_17,synthetic,logsteps,100,True,False,2025_12_10_12_17,5000,50,243711.935,auc,pck,5000,__all__,snapshots/synthetic_logsteps100_pretrainedTrue_freezeFalse_2025_12_10_12_17/epoch_50.pth
snapshots/synthetic_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_12_06,synthetic_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_12_06,synthetic,logsteps,100,True,True,2025_12_10_12_06,5000,50,242616.09000000003,auc,pck,5000,__all__,snapshots/synthetic_logsteps100_pretrainedTrue_freezeTrue_2025_12_10_12_06/epoch_50.pth
snapshots/synthetic_random_flipping_steps100_pretrainedFalse_freezeFalse_2025_12_13_11_45,synthetic_random_flipping_steps100_pretrainedFalse_freezeFalse_2025_12_13_11_45,synthetic,steps,100,False,False,2025_12_13_11_45,3000,30,103497.735,auc,pck,5000,__all__,snapshots/synthetic_random_flipping_steps100_pretrainedFalse_freezeFalse_2025_12_13_11_45/epoch_30.pth
snapshots/synthetic_random_flipping_steps100_pretrainedTrue_freezeFalse_2025_12_13_11_45,synthetic_random_flipping_steps100_pretrainedTrue_freezeFalse_2025_12_13_11_45,synthetic,steps,100,True,False,2025_12_13_11_45,3000,30,247940.89499999996,auc,pck,5000,__all__,snapshots/synthetic_random_flipping_steps100_pretrainedTrue_freezeFalse_2025_12_13_11_45/epoch_30.pth
snapshots/synthetic_random_flipping_steps100_pretrainedTrue_freezeTrue_2025_12_13_11_45,synthetic_random_flipping_steps100_pretrainedTrue_freezeTrue_2025_12_13_11_45,synthetic,steps,100,True,True,2025_12_13_11_45,3000,30,238713.23500000002,auc,pck,5000,__all__,snapshots/synthetic_random_flipping_steps100_pretrainedTrue_freezeTrue_2025_12_13_11_45/epoch_30.pth
snapshots/synthetic_small_zoom_steps100_pretrainedFalse_freezeFalse_2025_12_11_08_43,synthetic_small_zoom_steps100_pretrainedFalse_freezeFalse_2025_12_11_08_43,synthetic,steps,100,False,False,2025_12_11_08_43,5000,50,149773.36000000002,auc,pck,5000,__all__,snapshots/synthetic_small_zoom_steps100_pretrainedFalse_freezeFalse_2025_12_11_08_43/epoch_50.pth
snapshots/synthetic_small_zoom_steps100_pretrainedFalse_freezeFalse_2025_12_13_11_43,synthetic_small_zoom_steps100_pretrainedFalse_freezeFalse_2025_12_13_11_43,synthetic,steps,100,False,False,2025_12_13_11_43,3000,30,186730.655,auc,pck,5000,__all__,snapshots/synthetic_small_zoom_steps100_pretrainedFalse_freezeFalse_2025_12_13_11_43/epoch_30.pth
snapshots/synthetic_small_zoom_steps100_pretrainedTrue_freezeFalse_2025_12_11_07_44,synthetic_small_zoom_steps100_pretrainedTrue_freezeFalse_2025_12_11_07_44,synthetic,steps,100,True,False,2025_12_11_07_44,5000,50,247630.81,auc,pck,5000,__all__,snapshots/synthetic_small_zoom_steps100_pretrainedTrue_freezeFalse_2025_12_11_07_44/epoch_50.pth
snapshots/synthetic_small_zoom_steps100_pretrainedTrue_freezeFalse_2025_12_13_11_38,synthetic_small_zoom_steps100_pretrainedTrue_freezeFalse_2025_12_13_11_38,synthetic,steps,100,True,False,2025_12_13_11_38,5000,50,241147.565,auc,pck,5000,__all__,snapshots/synthetic_small_zoom_steps100_pretrainedTrue_freezeFalse_2025_12_13_11_38/epoch_50.pth
snapshots/synthetic_small_zoom_steps100_pretrainedTrue_freezeTrue_2025_12_11_07_40,synthetic_small_zoom_steps100_pretrainedTrue_freezeTrue_2025_12_11_07_40,synthetic,steps,100,True,True,2025_12_11_07_40,5000,50,258971.65499999997,auc,pck,5000,__all__,snapshots/synthetic_small_zoom_steps100_pretrainedTrue_freezeTrue_2025_12_11_07_40/epoch_50.pth
snapshots/synthetic_small_zoom_steps100_pretrainedTrue_freezeTrue_2025_12_13_11_36,synthetic_small_zoom_steps100_pretrainedTrue_freezeTrue_2025_12_13_11_36,synthetic,steps,100,True,True,2025_12_13_11_36,3000,30,238847.74,auc,pck,5000,__all__,snapshots/synthetic_small_zoom_steps100_pretrainedTrue_freezeTrue_2025_12_13_11_36/epoch_30.pth
snapshots/synthetic_steps100_pretrainedFalse_freezeFalse_2025_12_11_06_37,synthetic_steps100_pretrainedFalse_freezeFalse_2025_12_11_06_37,synthetic,steps,100,False,False,2025_12_11_06_37,3000,30,110334.705,auc,pck,5000,__all__,snapshots/synthetic_steps100_pretrainedFalse_freezeFalse_2025_12_11_06_37/epoch_30.pth
snapshots/synthetic_steps100_pretrainedFalse_freezeFalse_2025_12_13_02_37,synthetic_steps100_pretrainedFalse_freezeFalse_2025_12_13_02_37,synthetic,steps,100,False,False,2025_12_13_02_37,5000,50,153336.88,auc,pck,5000,__all__,snapshots/synthetic_steps100_pretrainedFalse_freezeFalse_2025_12_13_02_37/epoch_50.pth
snapshots/synthetic_steps100_pretrainedTrue_freezeFalse_2025_12_11_05_11,synthetic_steps100_pretrainedTrue_freezeFalse_2025_12_11_05_11,synthetic,steps,100,True,False,2025_12_11_05_11,3000,30,233152.26999999996,auc,pck,5000,__all__,snapshots/synthetic_steps100_pretrainedTrue_freezeFalse_2025_12_11_05_11/epoch_30.pth
