ctx_rho_g,ctx_rho_g_lo,ctx_rho_g_hi,cent_rho_g,cent_rho_g_lo,cent_rho_g_hi,ctx_rho_L,ctx_rho_L_lo,ctx_rho_L_hi,ctx_rho_Lg,ctx_rho_Lg_lo,ctx_rho_Lg_hi,abs_r_Lg,abs_r_Lg_lo,abs_r_Lg_hi,target,split,family,label,head,n_rows
0.4391694725028059,0.3793282828282828,0.4905732323232324,0.4150907447117153,0.36472954354868986,0.4683951970119433,0.6542087542087541,0.5733333333333334,0.7149873737373735,0.643658810325477,0.576314814814815,0.703273569023569,0.7075207705419507,0.4502857377348202,0.8524376739047638,peak_pck,LOBO,motion_sym,main,g,891
0.45028058361391693,0.40942760942760936,0.499520202020202,0.4372367233203537,0.3940761435111504,0.4923879879470505,0.6542087542087541,0.5951178451178452,0.7149873737373735,0.6572390572390572,0.6119292929292929,0.7121590909090909,0.7167254650609316,0.5154024232954959,0.8648809665396592,peak_pck,LOBO,motion_sym,main,g_zridge,891
,,,,,,0.6542087542087541,0.5749494949494949,0.7152676767676767,0.6542087542087541,0.5749494949494949,0.7152676767676767,0.7248091582801284,0.43354003007358827,0.8874281042330451,peak_pck,LOBO,motion_sym,main,g_rank,891
,,,,,,0.6542087542087541,0.5950530303030304,0.7095707070707071,0.6542087542087541,0.5950530303030304,0.7095707070707071,0.7248091582801284,0.4890413179639499,0.8729497470304857,peak_pck,LOBO,motion_sym,main,g_gbm,891
-0.043209876543209874,-0.09292929292929293,0.014166666666666675,-0.08210630959641257,-0.13125785406150237,-0.021648733140332856,0.04365881032547699,-0.01653535353535354,0.09415151515151514,0.042087542087542076,-0.021479797979797977,0.09699494949494948,0.5837948026019936,0.2762126734935969,0.7300229105821067,peak_pck,LOBO,motion_sym,shuffle,g,891
0.04927048260381594,-0.011279461279461276,0.1096969696969697,0.036732995627757795,-0.004443127659766796,0.07487648223523533,0.04365881032547699,-0.01801010101010101,0.09797979797979799,0.05308641975308643,-0.003927609427609417,0.10464646464646463,0.5838016265109276,0.28429972432811246,0.7404958540604305,peak_pck,LOBO,motion_sym,shuffle,g_zridge,891
,,,,,,0.04365881032547699,-0.01921085858585859,0.12222222222222222,0.04365881032547699,-0.01921085858585859,0.12222222222222222,0.5839580884822625,0.3072033209156367,0.7497638176677703,peak_pck,LOBO,motion_sym,shuffle,g_rank,891
,,,,,,0.04365881032547699,-0.019960858585858585,0.09797979797979799,0.04365881032547699,-0.019960858585858585,0.09797979797979799,0.5839580884822625,0.3101923069134498,0.7364138508473969,peak_pck,LOBO,motion_sym,shuffle,g_gbm,891
0.4391694725028059,0.38556186868686865,0.49536868686868685,0.4150907447117153,0.3684991465079952,0.47557480337882846,0.6342312008978676,0.5314848484848483,0.76,0.7240179573512907,0.6723737373737374,0.7942222222222223,0.2729729333426094,0.16731907105800686,0.5093788834140393,peak_pck,LOBO,motion_sym,uniform_level,g,891
0.45028058361391693,0.4018181818181818,0.49293434343434345,0.4372367233203537,0.37893404646923773,0.500965819152422,0.6342312008978676,0.5469898989898989,0.7420938552188554,0.713692480359147,0.6392171717171719,0.7903072390572387,0.26512109567949643,0.1422725022286083,0.4891838996133827,peak_pck,LOBO,motion_sym,uniform_level,g_zridge,891
,,,,,,0.6342312008978676,0.5338787878787877,0.7163059163059166,0.6342312008978676,0.5338787878787877,0.7163059163059166,0.22077052762215568,0.09986891330635796,0.47232602053478956,peak_pck,LOBO,motion_sym,uniform_level,g_rank,891
,,,,,,0.6342312008978676,0.5524368686868687,0.7160010822510825,0.6342312008978676,0.5524368686868687,0.7160010822510825,0.22077052762215568,0.09497468559744233,0.4364215336795034,peak_pck,LOBO,motion_sym,uniform_level,g_gbm,891
0.4952725048874817,0.44943181818181827,0.5397217859663637,0.3872201147146929,0.3391861752345579,0.4516854416421041,0.6542087542087541,0.5912710437710439,0.7138383838383837,0.6637485970819305,0.6032188552188552,0.714537037037037,0.7133366852011396,0.4503778272831421,0.8458781224444458,peak_pck,LOBO,motion_rule,main,g,891
0.4952725048874817,0.4567626262626263,0.5545714195562655,0.3834775435502447,0.342551535184947,0.45739086007515883,0.6542087542087541,0.5853535353535354,0.7111784511784512,0.667003367003367,0.6053556397306398,0.7180479797979796,0.7206238392360594,0.4144432941017022,0.8591767507596387,peak_pck,LOBO,motion_rule,main,g_zridge,891
,,,,,,0.6542087542087541,0.585689393939394,0.7151439393939392,0.6542087542087541,0.585689393939394,0.7151439393939392,0.7248091582801284,0.4690046420582839,0.884933244785085,peak_pck,LOBO,motion_rule,main,g_rank,891
,,,,,,0.6542087542087541,0.5914659090909091,0.7131313131313132,0.6542087542087541,0.5914659090909091,0.7131313131313132,0.7248091582801284,0.394406594008991,0.8882324433003471,peak_pck,LOBO,motion_rule,main,g_gbm,891
0.03427061811660885,-0.01558585858585859,0.09454545454545453,0.026683140924179363,-0.06033127889487546,0.10890241144788085,0.04365881032547699,-0.01919823232323233,0.09633838383838383,0.046801346801346795,-0.01474747474747475,0.10101641414141412,0.5833586018636694,0.29087448482163153,0.7513207120050966,peak_pck,LOBO,motion_rule,shuffle,g,891
0.03427061811660885,-0.0193320829573215,0.0820462840460455,0.02993302832411405,-0.040879297253884894,0.11480503328563978,0.04365881032547699,-0.01804040404040404,0.0930976430976431,0.047586980920314256,-0.011664141414141417,0.09417845117845117,0.5837846744726355,0.32575003978137057,0.7235469854924668,peak_pck,LOBO,motion_rule,shuffle,g_zridge,891
,,,,,,0.04365881032547699,-0.014594276094276088,0.09633838383838383,0.04365881032547699,-0.014594276094276088,0.09633838383838383,0.5839580884822625,0.32928282862184616,0.7431372138134461,peak_pck,LOBO,motion_rule,shuffle,g_rank,891
,,,,,,0.04365881032547699,-0.007878787878787884,0.08946608946608947,0.04365881032547699,-0.007878787878787884,0.08946608946608947,0.5839580884822625,0.31119245731362194,0.7339349615918358,peak_pck,LOBO,motion_rule,shuffle,g_gbm,891
0.4952725048874817,0.45648989898989906,0.5458497107239951,0.3872201147146929,0.33425197945940005,0.45425138787173774,0.6342312008978676,0.548895202020202,0.7163059163059166,0.6679012345679013,0.5947601010101009,0.7509191919191918,0.25888776785719647,0.164164323999293,0.48187400394213664,peak_pck,LOBO,motion_rule,uniform_level,g,891
0.4952725048874817,0.44696969696969713,0.5476774801623262,0.3834775435502447,0.3246985666410959,0.4510993884697433,0.6342312008978676,0.5489722222222223,0.7133670033670035,0.6652076318742985,0.5841666666666666,0.7427914862914864,0.24982356459591532,0.16146146923941512,0.46108652974139686,peak_pck,LOBO,motion_rule,uniform_level,g_zridge,891
,,,,,,0.6342312008978676,0.5506464646464646,0.743571127946128,0.6342312008978676,0.5506464646464646,0.743571127946128,0.22077052762215568,0.09301696875053306,0.4585788990556773,peak_pck,LOBO,motion_rule,uniform_level,g_rank,891
,,,,,,0.6342312008978676,0.5471363636363638,0.7166351010101014,0.6342312008978676,0.5471363636363638,0.7166351010101014,0.22077052762215568,0.09110503157541343,0.48313175794471697,peak_pck,LOBO,motion_rule,uniform_level,g_gbm,891
0.22163727256019708,0.15805934343434344,0.280298476387668,0.2593567456141366,0.1667397099344384,0.33818481235851994,0.6542087542087541,0.5786565656565656,0.7197979797979798,0.6393939393939394,0.5822079124579124,0.6875715488215486,0.7180869109182736,0.43944137813903494,0.8693966444767589,peak_pck,LOBO,motion_precision,main,g,891
0.22163727256019708,0.1526691919191919,0.2844761108604977,0.2526287972220345,0.14059820771699955,0.32836951111559187,0.6542087542087541,0.573246632996633,0.7149873737373735,0.6463524130190796,0.5814074074074074,0.6953177609427609,0.721707656395004,0.4176222371958514,0.8824152131509231,peak_pck,LOBO,motion_precision,main,g_zridge,891
,,,,,,0.6542087542087541,0.5835656565656566,0.7145454545454546,0.6542087542087541,0.5835656565656566,0.7145454545454546,0.7248091582801284,0.4312297833772432,0.8758523481689292,peak_pck,LOBO,motion_precision,main,g_rank,891
,,,,,,0.6542087542087541,0.5735353535353536,0.7216464646464648,0.6542087542087541,0.5735353535353536,0.7216464646464648,0.7248091582801284,0.4243332796425559,0.8937759823415424,peak_pck,LOBO,motion_precision,main,g_gbm,891
-0.007914264608690755,-0.08365656565656567,0.0800010642842169,-0.0950129172311084,-0.17436274253244183,0.012959735286203942,0.04365881032547699,-0.011939393939393944,0.09649368686868692,0.03872053872053872,-0.01464141414141414,0.08604040404040415,0.5838458792295941,0.29334421637294833,0.7399211924839912,peak_pck,LOBO,motion_precision,shuffle,g,891
