src,bench,variant,actual,L2,L2K
pointodyssey,tss,catspp|True|False,62.2398,59.04485737653964,59.234745933491
sintel,flyingthings,catspp|True|False,82.138,55.039523579129714,58.92320243396249
sintel,kitti2012,catspp|True|False,98.205,90.97706176127834,91.97769800957917
sintel,kitti2015,catspp|True|False,96.8068,92.08368900704947,93.18530015045482
sintel,pfpascal,catspp|True|False,48.9548,63.99079358929885,67.29593237871615
sintel,pfwillow,catspp|True|False,50.7444,60.73527623391901,62.290023196631054
sintel,pointodyssey,catspp|True|False,58.6808,67.92792549949436,68.68076629222953
sintel,spair,catspp|True|False,22.5826,58.41556003783854,55.86685891894208
sintel,synthetic,catspp|True|False,40.9952,46.20082855294632,44.42284009515108
sintel,tss,catspp|True|False,65.8113,59.238545483418505,59.621081387273115
spair,flyingthings,catspp|True|False,63.3569,56.92744012729822,54.72903993129203
spair,kitti2012,catspp|True|False,83.7234,93.63112260966503,92.11949768723129
spair,kitti2015,catspp|True|False,85.7568,94.99453292536973,93.48494412996585
spair,pfpascal,catspp|True|False,38.806,66.12518462526121,63.77045629543355
spair,pfwillow,catspp|True|False,44.0889,62.83661982001669,61.71680767221178
spair,pointodyssey,catspp|True|False,54.5198,72.75908636361044,71.58259071319354
spair,spair,catspp|True|False,27.8596,60.31943639644238,65.00072194304448
spair,synthetic,catspp|True|False,34.9252,45.86572675226552,47.00410814254282
spair,tss,catspp|True|False,60.1788,61.2785143253794,61.445172919905275
synthetic,flyingthings,catspp|True|False,83.7548,55.089215184993705,54.08271752769271
synthetic,kitti2012,catspp|True|False,98.3518,91.3039483600676,90.45750957082257
synthetic,kitti2015,catspp|True|False,97.4319,92.3945641711699,91.51129428609659
synthetic,pfpascal,catspp|True|False,49.2406,63.58468856985973,63.109986984630936
synthetic,pfwillow,catspp|True|False,51.6333,60.235861976949764,60.094277704351086
synthetic,pointodyssey,catspp|True|False,58.2916,69.83418643221188,70.28174621339478
synthetic,spair,catspp|True|False,22.4135,57.56383008981811,56.686731405905924
synthetic,synthetic,catspp|True|False,53.8161,46.02647491102824,46.432599084322696
synthetic,tss,catspp|True|False,66.0565,58.89625246645963,58.82097743739689
synthetic_2d_warp,flyingthings,catspp|True|False,82.2203,56.40866535121223,55.75656715030526
synthetic_2d_warp,kitti2012,catspp|True|False,95.9663,92.48328409013286,91.64800188292007
synthetic_2d_warp,kitti2015,catspp|True|False,95.364,93.61502819547025,92.8299324984023
synthetic_2d_warp,pfpascal,catspp|True|False,49.2846,64.96041991160214,64.55390543795757
synthetic_2d_warp,pfwillow,catspp|True|False,52.3889,61.63304963776256,61.44835748470033
synthetic_2d_warp,pointodyssey,catspp|True|False,53.0839,70.75020460273655,70.84907303486233
synthetic_2d_warp,spair,catspp|True|False,22.7753,59.19458805409422,59.61052066143571
synthetic_2d_warp,synthetic,catspp|True|False,44.6253,46.61158272894034,46.60422330309147
synthetic_2d_warp,tss,catspp|True|False,65.697,60.250161927535494,60.35060089350533
synthetic_large_zoom,flyingthings,catspp|True|False,81.8483,55.37888682338193,56.82133710182904
synthetic_large_zoom,kitti2012,catspp|True|False,98.7949,90.9208900078076,91.62597389107754
synthetic_large_zoom,kitti2015,catspp|True|False,98.0919,92.07306737027376,93.04013551180161
synthetic_large_zoom,pfpascal,catspp|True|False,47.5495,64.21735119878336,65.65980244990642
synthetic_large_zoom,pfwillow,catspp|True|False,51.4222,60.69479260167396,61.32254043334428
synthetic_large_zoom,pointodyssey,catspp|True|False,45.1112,68.7656052862359,69.46043337729034
synthetic_large_zoom,spair,catspp|True|False,20.9922,57.261087536257754,55.52634122387087
synthetic_large_zoom,synthetic,catspp|True|False,63.3596,46.096695182805185,45.13594824620005
synthetic_large_zoom,tss,catspp|True|False,67.8898,59.01678499686714,59.12864184854002
synthetic_random_flipping,flyingthings,catspp|True|False,83.2946,53.84661806125952,53.38695842344909
synthetic_random_flipping,kitti2012,catspp|True|False,97.9034,89.50314971050354,87.62269415163449
synthetic_random_flipping,kitti2015,catspp|True|False,97.1466,90.47241142070574,87.79073817136954
synthetic_random_flipping,pfpascal,catspp|True|False,39.4059,61.98608605031788,61.03806646953492
synthetic_random_flipping,pfwillow,catspp|True|False,40.1667,58.2737967962092,58.166088514253076
synthetic_random_flipping,pointodyssey,catspp|True|False,48.4592,67.74169443528403,66.2617744458361
synthetic_random_flipping,spair,catspp|True|False,23.9303,53.55270751202041,53.471338334828914
synthetic_random_flipping,synthetic,catspp|True|False,84.9434,43.674921962105486,45.727232584018275
synthetic_random_flipping,tss,catspp|True|False,67.4824,56.647442051452636,56.13539349488095
synthetic_small_zoom,flyingthings,catspp|True|False,81.3255,55.696509952007936,59.271974688953726
synthetic_small_zoom,kitti2012,catspp|True|False,98.6145,91.13848288330493,92.00559941962848
synthetic_small_zoom,kitti2015,catspp|True|False,97.692,92.26973857506515,93.28427351822779
synthetic_small_zoom,pfpascal,catspp|True|False,46.1154,64.54583092176078,67.66849980640231
synthetic_small_zoom,pfwillow,catspp|True|False,48.7889,61.086729234393914,62.58309787099795
synthetic_small_zoom,pointodyssey,catspp|True|False,45.3383,68.27944710926128,69.11874149942227
synthetic_small_zoom,spair,catspp|True|False,20.7809,57.675447152130545,54.85824051001773
synthetic_small_zoom,synthetic,catspp|True|False,61.0298,46.63234848140213,45.0114648387184
synthetic_small_zoom,tss,catspp|True|False,64.8435,59.351977154560586,59.66449595366617
flyingthings,flyingthings,catspp|True|True,85.2894,55.92819274671275,55.67730167066633
flyingthings,kitti2012,catspp|True|True,97.709,91.11989953326369,91.3429360473962
flyingthings,kitti2015,catspp|True|True,95.7013,92.31987704870868,92.69731339903328
flyingthings,pfpascal,catspp|True|True,50.7447,64.28008304254536,64.3617813254514
flyingthings,pfwillow,catspp|True|True,53.4,61.114757412729986,61.11793162023985
flyingthings,pointodyssey,catspp|True|True,59.3461,70.25459950942577,70.70642794249731
flyingthings,spair,catspp|True|True,19.8812,58.41586210321923,57.550530190445514
flyingthings,synthetic,catspp|True|True,38.2449,47.05974716648483,46.55171319104959
flyingthings,tss,catspp|True|True,66.7002,59.822936498307435,59.79267455963518
imagenet2dwarp,flyingthings,catspp|True|True,79.9519,56.93704100492077,57.79306791664823
imagenet2dwarp,kitti2012,catspp|True|True,93.6996,91.56118791564904,91.9052692015293
imagenet2dwarp,kitti2015,catspp|True|True,93.2336,92.89213818855153,93.45109481020484
imagenet2dwarp,pfpascal,catspp|True|True,45.3169,65.29184867660258,66.35862786623949
imagenet2dwarp,pfwillow,catspp|True|True,48.9333,61.91630806516837,62.41772227643167
imagenet2dwarp,pointodyssey,catspp|True|True,41.4359,70.41561393468905,71.16717514882933
imagenet2dwarp,spair,catspp|True|True,23.1718,58.808881449167146,57.00561367238191
imagenet2dwarp,synthetic,catspp|True|True,39.7476,47.554567612641954,46.65331329934166
imagenet2dwarp,tss,catspp|True|True,63.5068,60.51978760632651,60.607201200301226
movi_f,flyingthings,catspp|True|True,77.9071,54.9618051482975,58.31786659208429
movi_f,kitti2012,catspp|True|True,95.7835,91.10661467349783,92.20323823601802
movi_f,kitti2015,catspp|True|True,94.8194,92.48665033670925,93.74283905301621
movi_f,pfpascal,catspp|True|True,38.85,63.9067864274352,66.76634477973309
movi_f,pfwillow,catspp|True|True,38.0222,61.19925534043454,62.48907044876776
movi_f,pointodyssey,catspp|True|True,95.8171,69.87960192570198,70.47668979159107
movi_f,spair,catspp|True|True,18.34,58.95547937835364,56.90121709715079
movi_f,synthetic,catspp|True|True,39.2118,47.88885419079462,45.9080045847065
movi_f,tss,catspp|True|True,55.6517,60.102095699135525,60.45059528056454
pointodyssey,flyingthings,catspp|True|True,79.22595,55.64921496105504,58.8519199146802
pointodyssey,kitti2012,catspp|True|True,96.1437,91.12200485405052,92.28565023049308
pointodyssey,kitti2015,catspp|True|True,95.0862,92.44289439716287,93.70917694826241
pointodyssey,pfpascal,catspp|True|True,45.84245,64.52900851414459,67.21092343872004
pointodyssey,pfwillow,catspp|True|True,47.911100000000005,61.51109228046397,62.6480539208687
pointodyssey,pointodyssey,catspp|True|True,71.0583,69.47071488561843,69.9823408885499
pointodyssey,spair,catspp|True|True,22.5766,58.84033912027057,57.53506218971825
pointodyssey,synthetic,catspp|True|True,39.8872,47.21212924563704,45.138817550660654
