dir,split,target,family_m,family_a,gap_g,gap_g_lo,gap_g_hi,p_gap_gt_0
results_mixed,JOINT,auc_normalized,motion,appearance,0.3699096642500591,0.11636291306096473,0.6018092406769114,0.9966666666666667
results_mixed,JOINT,auc_normalized,motion_sym,appearance_sym,0.45185945537243544,0.23784090942903494,0.6816676326750042,1.0
results_mixed,JOINT,auc_normalized,motion,random,0.13263452053798083,-0.047424405916182265,0.31828425868745874,0.8966666666666666
results_symmetric_informed,LOTO,auc_normalized,motion,appearance,0.6401693797844569,0.2078342074906198,0.9673953913274571,1.0
results_symmetric_informed,LOTO,auc_normalized,motion_sym,appearance_sym,0.37907210994911006,-0.06387770716975029,0.7423112093735651,0.9533333333333334
results_symmetric_informed,LOTO,auc_normalized,motion,random,0.22909026384836254,-0.15471490458617268,0.5350660956453258,0.89
results_symmetric_informed,LOBO,auc_normalized,motion,appearance,0.14536938191438192,0.04537626262626261,0.26201515151515126,1.0
results_symmetric_informed,LOBO,auc_normalized,motion_sym,appearance_sym,0.33744646464646466,0.23657424242424238,0.44735930735930735,1.0
results_symmetric_informed,LOBO,auc_normalized,motion,random,0.30045126583293247,0.1652813852813853,0.45318939393939395,1.0
results_symmetric_informed,JOINT,auc_normalized,motion,appearance,0.37925279873760703,0.14996457743890274,0.6503730362620118,1.0
results_symmetric_informed,JOINT,auc_normalized,motion_sym,appearance_sym,0.4312376962950435,0.19155301099755345,0.6618037507698985,1.0
results_symmetric_informed,JOINT,auc_normalized,motion,random,0.13621507014345288,-0.056810496958636346,0.31377335711566484,0.9133333333333333
results_symmetric_uninformed,LOTO,auc_normalized,motion,appearance,0.6099021350339534,0.2074206901865405,0.9617056164984639,1.0
results_symmetric_uninformed,LOTO,auc_normalized,motion_sym,appearance_sym,0.3802155411714665,-0.07776062805111857,0.6955377339962714,0.95
results_symmetric_uninformed,LOTO,auc_normalized,motion,random,0.253724210511367,-0.1306418574638987,0.5758043646162114,0.89
results_symmetric_uninformed,LOBO,auc_normalized,motion,appearance,0.15032526455026454,0.06718874458874459,0.24107575757575736,1.0
results_symmetric_uninformed,LOBO,auc_normalized,motion_sym,appearance_sym,0.33295522446689113,0.20997474747474745,0.44432900432900435,1.0
results_symmetric_uninformed,LOBO,auc_normalized,motion,random,0.3011981946448613,0.16548232323232323,0.43462424242424236,1.0
results_symmetric_uninformed,JOINT,auc_normalized,motion,appearance,0.3667751135392866,0.10554651597476028,0.595436068979223,1.0
results_symmetric_uninformed,JOINT,auc_normalized,motion_sym,appearance_sym,0.4468039476122865,0.19468147505655692,0.65812709040449,1.0
results_symmetric_uninformed,JOINT,auc_normalized,motion,random,0.12717795229933915,-0.05728375184141679,0.31750585303760415,0.91
results_targeted_informed,LOTO,auc_normalized,motion,appearance,0.6299584346964632,0.22357465685977515,0.9860607697316738,1.0
results_targeted_informed,LOTO,auc_normalized,motion_sym,appearance_sym,0.36253756453962604,-0.1440391040838052,0.7166161178702105,0.92
results_targeted_informed,LOTO,auc_normalized,motion,random,0.2185026649321908,-0.16153433223116107,0.5539196181266508,0.8533333333333334
results_targeted_informed,LOBO,auc_normalized,motion,appearance,0.14767641814975146,0.0521098484848485,0.25195252525252504,1.0
results_targeted_informed,LOBO,auc_normalized,motion_sym,appearance_sym,0.33676736812570146,0.23787878787878783,0.4415050505050504,1.0
results_targeted_informed,LOBO,auc_normalized,motion,random,0.3139364454064454,0.19012987012987012,0.4615584415584415,1.0
results_targeted_informed,JOINT,auc_normalized,motion,appearance,0.3753461527347738,0.10568175336757724,0.6011404553055064,1.0
results_targeted_informed,JOINT,auc_normalized,motion_sym,appearance_sym,0.4611144059676898,0.223659145663045,0.6835263826903575,1.0
results_targeted_informed,JOINT,auc_normalized,motion,random,0.12592169944574816,-0.07638962761275503,0.3332832895242226,0.9
results_eb_shrunk,LOTO,auc_normalized,motion,appearance,0.6371270584175484,0.23424447209908045,0.9760566919414563,1.0
results_eb_shrunk,LOTO,auc_normalized,motion_sym,appearance_sym,0.37904851788459476,-0.08754663662551887,0.6906755501393979,0.94
