arch,regime,source,benchmark,peak_pck,mean_nn_a_to_b,mean_nn_b_to_a,mean_nn_sym
glunet,FF,movi_f,pfwillow,13.8,0.0188964996486902,0.0360206700861454,0.0274585848674178
glunet,TT,movi_f,pfwillow,14.3062,0.0188964996486902,0.0360206700861454,0.0274585848674178
raft,FF,movi_f,pfwillow,13.8111,0.0188964996486902,0.0360206700861454,0.0274585848674178
catspp,FF,movi_f,pointodyssey,84.7224,3.409767305129208e-05,0.0008544207667,0.0004442592198756
catspp,TT,movi_f,pointodyssey,95.8171,3.409767305129208e-05,0.0008544207667,0.0004442592198756
glunet,FF,movi_f,pointodyssey,66.6921,3.409767305129208e-05,0.0008544207667,0.0004442592198756
glunet,TT,movi_f,pointodyssey,61.2703,3.409767305129208e-05,0.0008544207667,0.0004442592198756
raft,FF,movi_f,pointodyssey,64.2839,3.409767305129208e-05,0.0008544207667,0.0004442592198756
catspp,FF,movi_f,spair,3.0896,0.0060819941572844,0.243987426161766,0.1250347101595252
catspp,TT,movi_f,spair,18.34,0.0060819941572844,0.243987426161766,0.1250347101595252
glunet,FF,movi_f,spair,1.9627,0.0060819941572844,0.243987426161766,0.1250347101595252
glunet,TT,movi_f,spair,2.486,0.0060819941572844,0.243987426161766,0.1250347101595252
raft,FF,movi_f,spair,1.9948,0.0060819941572844,0.243987426161766,0.1250347101595252
catspp,FF,movi_f,synthetic,15.2654,0.0006030137301422,0.3107461929321289,0.1556746033311355
catspp,TT,movi_f,synthetic,39.2118,0.0006030137301422,0.3107461929321289,0.1556746033311355
glunet,FF,movi_f,synthetic,6.5898,0.0006030137301422,0.3107461929321289,0.1556746033311355
glunet,TT,movi_f,synthetic,6.6584,0.0006030137301422,0.3107461929321289,0.1556746033311355
raft,FF,movi_f,synthetic,6.1934,0.0006030137301422,0.3107461929321289,0.1556746033311355
catspp,FF,movi_f,tss,24.3569,0.0026132592465728,0.0591092407703399,0.0308612500084564
catspp,TT,movi_f,tss,55.6517,0.0026132592465728,0.0591092407703399,0.0308612500084564
glunet,FF,movi_f,tss,17.947,0.0026132592465728,0.0591092407703399,0.0308612500084564
glunet,TT,movi_f,tss,19.7064,0.0026132592465728,0.0591092407703399,0.0308612500084564
raft,FF,movi_f,tss,18.6637,0.0026132592465728,0.0591092407703399,0.0308612500084564
catspp,FF,pointodyssey,flyingthings,64.4318,6.311164906946942e-05,0.0041363444179296,0.0020997280334995
catspp,TT,pointodyssey,flyingthings,79.22595,6.311164906946942e-05,0.0041363444179296,0.0020997280334995
glunet,FF,pointodyssey,flyingthings,71.1769,6.311164906946942e-05,0.0041363444179296,0.0020997280334995
glunet,TT,pointodyssey,flyingthings,76.6361,6.311164906946942e-05,0.0041363444179296,0.0020997280334995
raft,FF,pointodyssey,flyingthings,57.27595,6.311164906946942e-05,0.0041363444179296,0.0020997280334995
catspp,FF,pointodyssey,kitti2012,87.0735,0.023601371794939,0.0002848509757313,0.0119431113853352
catspp,TT,pointodyssey,kitti2012,96.1437,0.023601371794939,0.0002848509757313,0.0119431113853352
glunet,FF,pointodyssey,kitti2012,95.5502,0.023601371794939,0.0002848509757313,0.0119431113853352
glunet,TT,pointodyssey,kitti2012,97.4634,0.023601371794939,0.0002848509757313,0.0119431113853352
raft,FF,pointodyssey,kitti2012,89.47625,0.023601371794939,0.0002848509757313,0.0119431113853352
catspp,FF,pointodyssey,kitti2015,85.69685,0.0326918289065361,0.0005904600257053,0.0166411444661207
catspp,TT,pointodyssey,kitti2015,95.0862,0.0326918289065361,0.0005904600257053,0.0166411444661207
glunet,FF,pointodyssey,kitti2015,86.2536,0.0326918289065361,0.0005904600257053,0.0166411444661207
glunet,TT,pointodyssey,kitti2015,94.9408,0.0326918289065361,0.0005904600257053,0.0166411444661207
raft,FF,pointodyssey,kitti2015,83.4171,0.0326918289065361,0.0005904600257053,0.0166411444661207
catspp,FF,pointodyssey,pfpascal,12.26865,0.0087307197973132,0.0033152212854474,0.0060229705413803
catspp,TT,pointodyssey,pfpascal,45.84245,0.0087307197973132,0.0033152212854474,0.0060229705413803
